Source	Target	@mention	retweet	Weight
0_guccifer2	bad_bad_bernie		1	1
0cto7	lolgop		1	1
0noyouwont	evan_mcmullin		1	1
0x3x3x3	jackposobiec		1	1
1_vagabond	dwalingen		1	1
1baldeagle77	youtube	1		1
1catherinesiena	joshmblackman		1	1
1danidominique	asiesmonterrey		1	1
1grizgirl	raindance16	1		1
1handputter	william36945299		1	1
1jonesshe	cnn		1	1
1jonesshe	nbcnightlynews		1	1
1leana	robschneider		1	1
1lolamarina	motherboard		1	1
1malviran	damuelle		1	1
1shipman	gpetriglieri		1	1
1slimpapa	bifftannen34	1		1
1stjoshrobinson	charles_gaba		1	1
2billyarber	piersmorgan		1	1
2braptuedbyjc77	govmikehuckabee		1	1
2forwoyne	lithoniadon		1	1
2islandjojo	jackposobiec		1	1
2kschumacher	cincinnatus1775		1	1
2kschumacher	dbargen		1	1
2kschumacher	newtgingrich		1	1
2leaf_0408	mirang_owner	1		1
2mtbottles	the_newright		1	1
2pedra	berniesanders		1	1
2political4me	kurteichenwald		1	1
2soundoff1	stuknderplahoma	1		1
2twelvehundreds	apbusiness	1		1
3puppies4kids	marian_maio		1	1
4aisal	charles_gaba	1		1
4beautifulworld	4beautifulworld		1	1
4callmedad	youtube	3		3
4evrstardancer	berniesanders		1	1
4evrstardancer	funder		1	1
4freedom4ever	heifer109		1	1
4freedom4ever	kittycoyne		1	1
4freedomsforall	pattonoswalt	1		1
5dequeso	aztecanoticias		1	1
5dequeso	excelsior		1	1
6kvirat8071	textporns		1	1
7bugglettes	amjoyshow		1	1
7bugglettes	jmhpro		1	1
7bugglettes	thisisoutspeak		1	1
7bugglettes	tina49747372		1	1
7wdata	cosmicfirepeace		1	1
8pointedstar	puppymnkey		1	1
8simon9	charliekirk11		1	1
8simon9	frankgaffney		1	1
9circlesofhell	debramessing		1	1
9snow26angels1	ariberman		1	1
9snow26angels1	bruneski		1	1
9snow26angels1	davebernstein		1	1
9snow26angels1	politico		1	1
00buzzkill	funder		1	1
00georgia1	beautygiris		1	1
10fifteen	colinjones		1	1
10fifteen	honey17011		1	1
10fifteen	mmfa		1	1
18diannem	debramessing		1	1
18diannem	ronda524		1	1
19feb54	moveforwardhuge		1	1
24baseballreed	jonfavs		1	1
24baseballreed	lawyerrogelio		1	1
24baseballreed	lrbitisnot		3	3
44heat	angela_rye		1	1
60dfather	realdjfuego		1	1
60macc	mustapha_itani		1	1
70torinoman	intlspectator		1	1
72ce5f0717f1487	jasonmillerindc		1	1
72ce5f0717f1487	pamela_moore13		1	1
72ce5f0717f1487	ten_gop		1	1
73_carondelet	penofumar		1	1
73ghiapet	lolgop		1	1
74f5c728e7d446d	74f5c728e7d446d		2	2
76detodounpoco	youtube	2		2
99rebeccasmith1	adambaldwin		1	1
207_9971	mattsaiec		1	1
305pirate	eileendefreest		1	1
305pirate	imnikiturner		1	1
308cal	foxandfriends		1	1
321chapp	wendyprince2		1	1
412ch13	nytimesbusiness	1		1
505_never_trump	juddlegum		1	1
505_never_trump	rmasher2		1	1
555_azerty	europe_israel		1	1
570karen	nycmayor		1	1
600nanometer	lolgop		1	1
708designer	boingboing	1		1
1012thom	anncoulter	1		1
1012thom	nirpumbrella	1		1
1234jamesdean	1234jamesdean	1		1
1245leebonnie	ten_gop		1	1
1306pootie	nytimes		1	1
1776_trump1	boberpeter	1		1
2016themovie	dineshdsouza		1	1
3172jam	jackposobiec		1	1
17295e525071427	snowden	1		1
000120o	annika1061		1	1
_645236501049	jasonmillerindc		1	1
__boaz__	lrihendry		1	1
__brh__	joshtpm	1		1
__eruchii	tbhblessed		1	1
__hannnnie	a_greenberg		1	1
__non__alcoholi	stevekopack		1	1
__staynashty	brokencountry1		1	1
__taniaslv	diazelche		1	1
_aashleeee_	amandvxa		1	1
_adrian1776	kitdaniels1776		1	1
_afr6	belasaz_	1		1
_anti_you	lexi4prez		1	1
_arank18	nycmayor		1	1
_atypicalsgirls	textporns		1	1
_ayeitstey	tbhblessed		1	1
_chickymonkey	georgetakei		1	1
_colleenskitty_	mirandasings		1	1
_cynthialove22	nycmayor		1	1
_dampa	lenouveleco	1		1
_encontacto	realdonaldtrump	1		1
_g_baer_	andylassner		1	1
