Source	Target	@mention	Retweet	Weight
71141'881431'81	8'8'8'8'820_9451		1	1
_7911315727171'8071t130	8'8'8'8372m13106257213		1	1
8'87271044m1_m454'8	8'8'8571155371		1	1
857249711	8'8'8571155371		1	1
838971313144	8'8'8571155371		1	1
82572~~717171	8'8'8571155371		1	1
8~913331451	8'8'8571155371		1	1
8457114953372	8'8'8571155371		1	1
535372t_9	8'8'8571155371		1	1
572_9_9_97157231125724971572'8	8'8'8571155371		1	1
5727171081572471_9572	8'8'8571155371		1	1
571149537271572721711	8'8'8571155371		1	1
9717271162t1817131m389	8'8'8571155371		1	1
9157245727193893'8	8'8'8571155371		1	1
814m72~~14'8314549	8'8'8571155371		1	1
25727157271'8913	8'8'8571155371		1	1
244348144571'8	8'8'8571155371		1	1
~15119717171317151	8'8'8571155371		1	1
~1m54905	8'8'8571155371		1	1
31572m7113138971572m31171	8'8'8571155371		1	1
711720m04_9t171	8'8'8571155371		1	1
715721m10814814172157231	8'8'8571155371		1	1
t1572715723171517157271	8'8'8571155371		1	1
t49t_9145'8'8'8	8'8'8571155371		1	1
72_79157272'80315728148	8'8'8971'8'8'8		1	1
1'83'81'8~'81'81'831'8814	8'8'8971'8'8'8		1	1
62145371m_791'8'1	8'8'8971'8'8'8		1	1
t_7911'871157231'8~57213171	8'8'8145724	1		1
1_95721572_791362t14389	8'8'8389155_9	1		1
8'8'8~14389~572m	8'8'8_951717157231134		1	1
8'8'8310719~404_9	8'8'8_951717157231134		1	1
8_79113131m_9t1721	8'8'8_951717157231134		1	1
8t572m57271572m5724344389	8'8'8_951717157231134		1	1
57145371'8572715131	8'8'8_951717157231134		1	1
57149~'85113	8'8'8_951717157231134		1	1
72_79157271714531157272_7919	8'8'8_951717157231134		1	1
9572'8t41389389_9t171	8'8'8_951717157231134		1	1
957212_791572_9	8'8'8_951717157231134		1	1
m572711531572'8257241	8'8'8_951717157231134		1	1
34_m1431572627117271'8	8'8'8_951717157231134		1	1
_m5315372'8	8'8'8_951717157231134		1	1
71171572_791300	8'8'8_951717157231134		1	1
710715723116257214_9	8'8'8_951717157231134		1	1
4_79101_7911497114	8'8'8_951717157231134		1	1
8'8'831572971915724	8'8'8t_7911~14389'8'8'8	1		1
_7911315727171'8415	8'8572m51713		1	1
147144389	8'8572_91572m0457245		1	1
_97194713897157271	8'8572_91572m0457245			
4m723715m72371'8	8'85571471_9572		1	1
_9t14389715727172_79113131	8'85571471_9572		1	1
8~193145~'8	8'89t_79116271711914t		1	1
m3571044_9_791m389572_791	8'89mt72_791	1		1
572710m572710_957290	8'82'857272~m5724		1	1
1m131718141471'7	8'82'857272~m5724		1	1
22715728114572t1045'	8'82'857272~m5724		1	1
_915m13572'8	8'825727104721		1	1
_91572_931572m	8'825727104721		1	1
4_7911t51'872_7915724	8'825727104721		1	1
621451572715171	8'831'8m'872'871		1	1
t_791t38917131'8572m5171	8'8m4'	3		3
71m0_97110	8'862572138913145		1	1
m57271457231071972_79157272_791572	8'871172_791_7910m51t71171	1		1
9m57271t1'8_7911315727171	8'8_9m457299311		1	1
~1438931572_9_791572451	8'8815724t1'8'8		1	1
t715726262572414t94971	8'8815724t1'8'8		1	1
84040945'8	8'84149133311		1	1
572315724572723157271572'8'8	8'84149133311		1	1
5724572'8'850	8'84149133311		1	1
51t72_791'81m50_9_9	8'84149133311		1	1
727114t04'8m04t5724572	8'84149133311		1	1
9572m44131972_7911319	8'84149133311		1	1
95728119071413131	8'84149133311		1	1
9172~49972_7911711	8'84149133311		1	1
2572_9_9'831572_9_7915721	8'84149133311		1	1
20m5727171572'8	8'84149133311		1	1
2081147204557249572_9_9	8'84149133311		1	1
m71m57243m5727172m_9	8'84149133311		1	1
0_7911m72_7911	8'84149133311		1	1
071138914572313472~717171	8'84149133311		1	1
71572t19572389'8'8	8'84149133311		1	1
t_7911'87115723172_791711_972	8'84149133311		1	1
t_791171157231'855729572_9_9	8'84149133311		1	1
t7171t7113131572	8'84149133311		1	1
71572'85071714'	8'84149133311		1	1
357271711m_791_791'8	8'84149133311		1	1
981531572_791971572m408	8'8389~4571		1	1
