X,Y,OBJECTID,County,Contae,Local_Government_Area,Limistéar_Rialtas_Áitiúil,Classification,Cineál,Gaeltacht,Town_Classification,ID,English_Name,Irish_Name,Foirm_Ghinideach,Alternative_Name,IG_E,IG_N,ITM_E,ITM_N,Irish_Validation,Legislation,Validated_By,Date_,Comment_
-6.884235744543293,52.812275781524121,1,CARLOW,Ceatharlach,CARLOW,,By,Bar,N,,19001,CARLOW,Ceatharlach,,,275285,174021,675219,674061,,,Fiontar,,
-6.763407362728587,52.730848196389879,2,CARLOW,Ceatharlach,CARLOW,,By,Bar,N,,19002,FORTH,Fotharta,,,283588,165094,683520,665135,,,Fiontar,,
-6.924669370277218,52.664423437331656,3,CARLOW,Ceatharlach,CARLOW,,By,Bar,N,,19003,IDRONE EAST,Uí Dhróna Thoir,,,272804,157527,672739,657570,,,Fiontar,,
-7.054777142943067,52.74337958210949,4,CARLOW,Ceatharlach,CARLOW,,By,Bar,N,,19004,IDRONE WEST,Uí Dhróna Thiar,,,263886,166190,663823,666231,,,Fiontar,,
-6.690144886205164,52.861615680159275,5,CARLOW,Ceatharlach,CARLOW,,By,Bar,N,,19005,RATHVILLY,,,,288272,179733,688203,679771,,,,,
-6.90751188310607,52.536000781575041,6,CARLOW,Ceatharlach,CARLOW,,By,Bar,N,,19006,St. MULLIN'S LOWER,Tigh Moling Íochtarach,,,274182,143254,674116,643300,,,Fiontar,,
-6.671620079114191,52.70847179911253,7,CARLOW,Ceatharlach,CARLOW,,By,Bar,N,,19007,St. MULLIN'S UPPER,Tigh Moling Uachtarach,,,289834,162714,689765,662756,,,Fiontar,,
-6.94232483216559,52.837974440483983,8,CARLOW,Ceatharlach,CARLOW,,By,Bar,N,,19008,SLIEVEMARGY,Sliabh Mairge,,,271326,176822,671261,676861,,,Fiontar,,
-7.132662215265998,53.840209926397002,9,CAVAN,An Cabhán,CAVAN,,By,Bar,N,,29001,CASTLERAHAN,Caisleán Raithin,,,257144,288192,657083,788207,,,Fiontar,,
-7.003415659596223,53.947628278688356,10,CAVAN,An Cabhán,CAVAN,,By,Bar,N,,29002,CLANKEE,Clann Chaoich,,,265484,300260,665421,800272,,,Fiontar,,
-7.454976098766376,53.870009312983839,11,CAVAN,An Cabhán,CAVAN,,By,Bar,N,,29003,CLANMAHON,Clann Mhathúna,,,235902,291298,635845,791312,,,Fiontar,,
-7.519519935095,54.09671582122391,12,CAVAN,An Cabhán,CAVAN,,By,Bar,N,,29004,LOUGHTEE LOWER,Lucht Tí Íochtarach,,,231485,316501,631429,816510,,,Fiontar,,
-7.208479458335126,54.044785694414728,13,CAVAN,An Cabhán,CAVAN,,By,Bar,N,,29005,TULLYGARVEY,Teallach Ghairbhíth,,,251899,310904,651839,810914,,,Fiontar,,
