X,Y,OBJECTID,County,Contae,Local_Government_Area,Limistéar_Rialtas_Áitiúil,Classification,Cineál,Gaeltacht,Town_Classification,ID,English_Name,Irish_Name,Foirm_Ghinideach,Alternative_Name,IG_E,IG_N,ITM_E,ITM_N,Irish_Validation,Legislation,Validated_By,Date_,Comment_
-6.044594981777363,52.980822106057829,2001,WICKLOW,Cill Mhantáin,WICKLOW,,CoP,Ld,N,,,Wicklow,Cill Mhantáin,,,331386,193985,731308,694020,3,,BF,2006-09-21T00:00:00.000Z,
-6.145285263205596,52.889743176035978,2002,WICKLOW,Cill Mhantáin,WICKLOW,,CoP,Ld,N,Town_3rd,,Redcross,Ráth Naoi,,,324886,183671,724809,683708,3,,BF,2006-09-21T00:00:00.000Z,
-6.082826293983137,52.994604639599387,2003,WICKLOW,Cill Mhantáin,WICKLOW,,CoP,Ld,N,,,Rathnew,Cill Mhantáin,,,328778,195449,728700,695484,3,,BF,2006-09-21T00:00:00.000Z,
-6.628989447751672,52.813017124719863,2004,WICKLOW,Cill Mhantáin,WICKLOW,,CoP,Ld,N,Town_3rd,,Ballyconnell,,,,292494,174402,692424,674441,,,,,
-6.410506622667484,52.872214461152247,2005,WICKLOW,Cill Mhantáin,WICKLOW,,CoP,Ld,N,Town_3rd,,Askanagap,Easca na gCeap,,,307079,181292,707006,681330,,,,,
-6.582536198094036,52.981254712143617,2006,WICKLOW,Cill Mhantáin,WICKLOW,,CoP,Ld,N,Town_3rd,,Knockanarrigan,Cnoc an Aragain,,,295256,193184,695186,693219,3,,BF,2006-09-21T00:00:00.000Z,
-6.224189237845447,53.065787957750928,2007,WICKLOW,Cill Mhantáin,WICKLOW,,CoP,Ld,N,,,Roundwood,An Tóchar,,,319090,203126,719015,703159,3,,BF,2006-09-21T00:00:00.000Z,
-6.292388044073602,53.200587242111261,2008,WICKLOW,Cill Mhantáin,WICKLOW,,CoP,Ld,N,,,Glencree,Gleann Crí,,,314161,218015,714087,718045,,,Fiontar,,
-6.112453627191047,52.922269105699101,2009,WICKLOW,Cill Mhantáin,WICKLOW,,CoP,Ld,N,,,Kilbride,Cill Bhríde,,,327000,187348,726923,687384,3,,BF,2006-09-21T00:00:00.000Z,
-6.710980051268177,52.940778251196711,2010,WICKLOW,Cill Mhantáin,WICKLOW,,CoP,Ld,N,,,Baltinglass,Bealach Conglais,,,286710,188517,686642,688553,3,,BF,2006-09-21T00:00:00.000Z,
-6.53407886454541,53.169660930927868,2011,WICKLOW,Cill Mhantáin,WICKLOW,,CoP,Ld,N,,,Blessington,Baile Coimín,,,298082,214215,698011,714246,3,,BF,2006-09-21T00:00:00.000Z,
-6.49924158244388,52.709668849918494,2012,WICKLOW,Cill Mhantáin,WICKLOW,,CoP,Ld,N,Town_5,,Carnew,Carn an Bhua,,,301482,163076,701410,663118,3,,BF,2006-09-21T00:00:00.000Z,
-6.462783199995671,52.762037371062164,2013,WICKLOW,Cill Mhantáin,WICKLOW,,CoP,Ld,N,,,Coolboy,An Cúl Buí,,,303821,168955,703749,668996,3,,BF,2006-09-21T00:00:00.000Z,
-6.063847319719838,53.071124461911111,2014,WICKLOW,Cill Mhantáin,WICKLOW,,CoP,Ld,N,,,Newcastle,An Caisleán Nua,,,329822,203998,729744,704031,3,,BF,2006-09-21T00:00:00.000Z,
-6.112030838861716,53.092779622848177,2015,WICKLOW,Cill Mhantáin,WICKLOW,,CoP,Ld,N,,,Newtown Mount Kennedy,Baile an Chinnéidigh,,,326529,206322,726452,706354,3,,BF,2006-09-21T00:00:00.000Z,
-6.064598708300022,53.106273686098035,2016,WICKLOW,Cill Mhantáin,WICKLOW,,CoP,Ld,N,,,Kilcoole,Cill Chomhghaill,,,329666,207908,729588,707940,3,,BF,2006-09-21T00:00:00.000Z,
-6.10555371456041,53.110375358476645,2017,WICKLOW,Cill Mhantáin,WICKLOW,,CoP,Ld,N,,,Kilpedder,Cill Pheadair,,,326911,208291,726834,708323,,,Fiontar,,
