X,Y,OBJECTID,County,Contae,Local_Government_Area,Limistéar_Rialtas_Áitiúil,Classification,Cineál,Gaeltacht,Town_Classification,ID,English_Name,Irish_Name,Foirm_Ghinideach,Alternative_Name,IG_E,IG_N,ITM_E,ITM_N,Irish_Validation,Legislation,Validated_By,Date_,Comment_
-6.925788736522552,52.824190959547806,1,CARLOW,Ceatharlach,CARLOW,,Civil_Ph,P,N,,16005,BALLINACARRIG,Baile na Carraige,,,272463,175305,672398,675344,,,Fiontar,,
-6.921421126413588,52.836384209315945,2,CARLOW,Ceatharlach,CARLOW,,Civil_Ph,P,N,,16011,CARLOW,Ceatharlach,,,272737,176666,672672,676705,,,Fiontar,,
-6.901723494929055,52.835286814996046,3,CARLOW,Ceatharlach,CARLOW,,Civil_Ph,P,N,,16012,CLONMELSH,Cluain Meilsí,,,274067,176564,674001,676603,,,Fiontar,,
-6.958579965995267,52.70125484038946,4,CARLOW,Ceatharlach,CARLOW,,Civil_Ph,P,N,,16017,DUNLECKNY,Dún Leicne,,,270451,161592,670386,661634,,,Fiontar,,
-6.965231676504291,52.704036537498951,5,CARLOW,Ceatharlach,CARLOW,,Civil_Ph,P,N,,16025,KILLINANE,,,,269997,161895,669932,661937,,,,,
-6.976126487053588,52.694378831799405,6,CARLOW,Ceatharlach,CARLOW,,Civil_Ph,P,N,,16038,SLIGUFF,Slí Dhubh,,,269276,160810,669211,660852,,,Fiontar,,
-6.981847087314191,52.693942734073914,7,CARLOW,Ceatharlach,CARLOW,,Civil_Ph,P,N,,16047,WELLS,Uilis,,,268890,160755,668825,660798,,,Fiontar,,
-6.939487594094064,52.838677165296112,8,CARLOW,Ceatharlach,CARLOW,,Civil_Ph,P,N,,16048,KILLESHIN,Cill Uisean,,,271516,176903,671451,676942,,,Fiontar,,
-7.432881337257545,54.101334886014108,9,CAVAN,An Cabhán,CAVAN,,Civil_Ph,P,N,,26002,ANNAGH,,,,237149,317057,637092,817066,,,,,
-7.079564174974704,54.073684365586786,10,CAVAN,An Cabhán,CAVAN,,Civil_Ph,P,N,,26010,DRUMGOON,Droim Dhúin,,,260302,314223,660240,814232,,,Fiontar,,
-7.450711439389317,54.105784741639361,11,CAVAN,An Cabhán,CAVAN,,Civil_Ph,P,N,,26011,DRUMLANE,Droim Leathan,,,235979,317543,635922,817552,,,Fiontar,,
-7.361464820442754,53.991661937401986,12,CAVAN,An Cabhán,CAVAN,,Civil_Ph,P,N,,26036,URNEY,,,,241931,304890,641873,804901,,,,,
-8.850460577744277,52.702005479991001,13,CLARE,An Clár,CLARE,,Civil_Ph,P,N,,36002,BUNRATTY,Bun Raite,,,142558,161505,542521,661548,,,Fiontar,,
-8.971343624351176,52.827701846546688,14,CLARE,An Clár,CLARE,,Civil_Ph,P,N,,36004,CLAREABBEY,Mainistir an Chláir,,,134575,175596,534540,675636,,,Fiontar,,
-8.888619922394239,52.701986267117533,15,CLARE,An Clár,CLARE,,Civil_Ph,P,N,,36007,CLONLOGHAN,Cluain Lócháin,,,139978,161534,539942,661577,,,Fiontar,,
-8.942960725386609,52.855308221813665,16,CLARE,An Clár,CLARE,,Civil_Ph,P,N,,36010,DOORA,Dúire,,,136529,178643,536493,678682,,,Fiontar,,
-8.98898159658571,52.844435785858991,17,CLARE,An Clár,CLARE,,Civil_Ph,P,N,,36011,DRUMCLIFF,Drom Cléibh,,,133412,177475,533377,677514,,,Fiontar,,
-8.867770330953469,52.707875160692602,18,CLARE,An Clár,CLARE,,Civil_Ph,P,N,,36013,DRUMLINE,Drom Laoinn,,,141396,162172,541359,662215,,,Fiontar,,
-8.898628361390445,52.695079794271969,19,CLARE,An Clár,CLARE,,Civil_Ph,P,N,,36023,KILCONRY,Cill Chomhraí,,,139292,160774,539256,660817,,,Fiontar,,
-9.642547647196144,52.677505446037259,20,CLARE,An Clár,CLARE,,Civil_Ph,P,N,,36026,KILFEARAGH,Cill Fhiarach,,,88953,159705,488928,659749,,,Fiontar,,
-8.954438027503887,52.85934201304633,21,CLARE,An Clár,CLARE,,Civil_Ph,P,N,,36059,KILRAGHTIS,Cill Reachtais,,,135762,179102,535726,679141,,,Fiontar,,
-9.485033003453088,52.640105235177096,22,CLARE,An Clár,CLARE,,Civil_Ph,P,N,,36060,KILRUSH,Cill Rois,,,99521,155313,499493,655357,,,Fiontar,,
-8.968850383993374,52.857032215810264,23,CLARE,An Clár,CLARE,,Civil_Ph,P,N,,36077,TEMPLEMALEY,Teampall Uí Mháille,,,134787,178858,534752,678897,,,Fiontar,,
-8.395870214489635,51.903576248666695,24,CORK,Corcaigh,CORK CITY,,Civil_Ph,P,N,,46021,CAHERLAG,Cathair Laga,,,172803,72393,572759,572455,,,Fiontar,,
-8.268861002471535,52.14207066971295,25,CORK,Corcaigh,CORK,,Civil_Ph,P,N,,46029,CLONDULANE,Cluain Dalláin,,,181643,98891,581597,598947,,,Fiontar,,
-8.313077987160453,51.848865616216209,26,CORK,Corcaigh,CORK,,Civil_Ph,P,N,,46030,CLONMEL,Cluain Meala,,,178475,66278,578430,566341,,,Fiontar,,
-8.274543709526526,52.139621617097625,27,CORK,Corcaigh,CORK,,Civil_Ph,P,N,,46044,FERMOY,Mainistir Fhear Maí,,,181253,98620,581207,598676,,,Fiontar,,
-8.470747687714775,51.897340739132503,28,CORK,Corcaigh,CORK CITY,,Civil_Ph,P,N,,46049,HOLY TRINITY,Paróiste na Tríonóide,,,167645,71730,567602,571792,,,Fiontar,,
-8.34378917869982,51.871513647466749,29,CORK,Corcaigh,CORK,,Civil_Ph,P,N,,46083,MARMULLANE,Cill Mhuire Ó Maoláin,,,176371,68807,576326,568870,,,Fiontar,,
