X,Y,OBJECTID,County,Contae,Local_Government_Area,Limistéar_Rialtas_Áitiúil,Classification,Cineál,Gaeltacht,Town_Classification,ID,English_Name,Irish_Name,Foirm_Ghinideach,Alternative_Name,IG_E,IG_N,ITM_E,ITM_N,Irish_Validation,Legislation,Validated_By,Date_,Comment_
-6.850367222254203,52.718977641562994,1,CARLOW,Ceatharlach,CARLOW,,C,Co,N,,10000,CARLOW,Ceatharlach,,,277734,163675,677668,663717,4,519,FJF,2007-05-16T00:00:00.000Z,
-7.336662848814475,53.951745852095648,2,CAVAN,An Cabhán,CAVAN,,C,Co,N,,20000,CAVAN,An Cabhán,,,243599,300462,643541,800474,4,519,FJF,2007-05-16T00:00:00.000Z,
-9.047161721868537,52.862452319419823,3,CLARE,An Clár,CLARE,,C,Co,N,,30000,CLARE,An Clár,,                                            ,129521,179535,529487,679574,4,519,FJF,2007-05-16T00:00:00.000Z,
-8.764354357483656,51.988470354556455,4,CORK,Corcaigh,CORK/CORK CITY,,C,Co,Y,,40000,CORK,Corcaigh,,,147540,82041,547502,582101,4,519,FJF,2007-05-16T00:00:00.000Z,
-7.995404658973375,54.866117642475103,5,DONEGAL,Dún na nGall,DONEGAL,,C,Co,Y,,50000,DONEGAL,Dún na nGall,,,200343,402042,600295,902033,4,519,FJF,2007-05-16T00:00:00.000Z,
-6.313378857986462,53.382473232592893,6,DUBLIN,Baile Átha Cliath,FINGAL/SOUTH DUBLIN/DUN LAOGHAIRE-RATHDOWN/DUBLIN CITY,,C,Co,N,,260000,DUBLIN,Baile Átha Cliath,,,312281,238223,712207,738248,4,519,FJF,2007-05-16T00:00:00.000Z,
-8.94425781414931,53.377091936284074,7,GALWAY,Gaillimh,GALWAY/GALWAY CITY,,C,Co,Y,,60000,GALWAY,Gaillimh,,,137207,236712,537171,736739,4,519,FJF,2007-05-16T00:00:00.000Z,
-9.525981259158463,52.16789593245025,8,KERRY,Ciarraí,KERRY,,C,Co,Y,,70000,KERRY,Ciarraí,,,95640,102828,495613,602884,4,519,FJF,2007-05-16T00:00:00.000Z,
-6.866120373618395,53.213756132229896,9,KILDARE,Cill Dara,KILDARE,,C,Co,N,,80000,KILDARE,Cill Dara,,,275800,218719,675734,718749,4,519,FJF,2007-05-16T00:00:00.000Z,
-7.187378756082436,52.612451669285207,10,KILKENNY,Cill Chainnigh,KILKENNY,,C,Co,N,,90000,KILKENNY,Cill Chainnigh,,,255096,151510,655034,651555,4,519,FJF,2007-05-16T00:00:00.000Z,
