X,Y,OBJECTID,County,Contae,Local_Government_Area,Limistéar_Rialtas_Áitiúil,Classification,Cineál,Gaeltacht,Town_Classification,ID,English_Name,Irish_Name,Foirm_Ghinideach,Alternative_Name,IG_E,IG_N,ITM_E,ITM_N,Irish_Validation,Legislation,Validated_By,Date_,Comment_
-6.917675804817035,52.735628271032475,1,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17001,AGHA,Achadh,,,273158,165458,673093,665499,,,Fiontar,,
-6.949912170788098,52.800318602767724,2,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17002,BALLINACARRIG,Baile na Carraige,,,270876,172624,670811,672664,,,Fiontar,,
-6.693053072578461,52.751908670102729,3,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17003,BALLINTEMPLE,Baile an Teampaill,,,288298,167521,688229,667562,,,Fiontar,,
-6.782332722537689,52.727035212512185,4,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17004,BALLON,Balana,,,282316,164647,682249,664689,,,Fiontar,,
-6.947958988897408,52.627267734131365,5,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17005,BALLYELLIN,Baile Eilín,,,271289,153369,671224,653413,,,Fiontar,,
-6.911351986462714,52.697019507116174,6,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17006,BALLYMOON,Baile Muáin,,,273651,161168,673585,661210,,,Fiontar,,
-6.850687332845138,52.545556875254334,7,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17007,BALLYMURPHY,Baile Uí Mhurchú,,,278021,144377,677954,644423,,,Fiontar,,
-6.932700631399229,52.597496328888482,8,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17008,BORRIS,An Bhuiríos,,,272371,150071,672306,650116,,,Fiontar,,
-6.849618268602551,52.857012074414754,9,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17009,BURTON HALL,Baile na Cille,,,277539,179037,677473,679075,,,Fiontar,,
-6.915393058841578,52.852552848713998,10,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17010,CARLOW RURAL,Ceatharlach (Tuath),,,273116,178471,673051,678510,,,Fiontar,,
-6.929096125764827,52.835716668357968,11,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17011,CARLOW URBAN,Ceatharlach (Uirbeach),,,272221,176584,672156,676623,,,Fiontar,,
-7.002494757234133,52.792071739745843,12,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17012,CLOGRENAN,Cloch Ghrianáin,,,267342,171656,667278,671696,,,Fiontar,,
-6.674675720234463,52.694564766542655,13,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17013,CLONEGALL,Cluain na nGall,,,289656,161163,689587,661205,,,Fiontar,,
-6.576602888655817,52.831788476679407,14,CARLOW,Ceatharlach,CARLOW,,ED,T,N,,17014,CLONMORE,Cluain Mhór,,,295984,176559,695914,676598,,,Fiontar,,
