X,Y,OBJECTID,County,Contae,Local_Government_Area,Limistéar_Rialtas_Áitiúil,Classification,Cineál,Gaeltacht,Town_Classification,ID,English_Name,Irish_Name,Foirm_Ghinideach,Alternative_Name,IG_E,IG_N,ITM_E,ITM_N,Irish_Validation,Legislation,Validated_By,Date_,Comment_
-6.810832774315676,52.723225744688982,1,CARLOW,Ceatharlach,CARLOW,,CC,Co_Co,N,,15001,CARLOW COUNTY COUNCIL,,,,280398,164191,680331,664233,,,,,
-7.299668038266155,53.976544482584529,2,CAVAN,An Cabhán,CAVAN,,CC,Co_Co,N,,25001,CAVAN COUNTY COUNCIL,,,,246001,303245,645942,803257,,,,,
-8.981133096717523,52.904531756434864,3,CLARE,An Clár,CLARE,,CC,Co_Co,N,,35001,CLARE COUNTY COUNCIL,,,,134032,184155,533997,684193,,,,,
-8.728542803851974,51.994207675489584,4,CORK,Corcaigh,CORK,,CC,Co_Co,Y,,45501,CORK COUNTY COUNCIL,,,,150007,82654,549968,582714,,,,,
-8.470631666317907,51.898752508923323,5,CORK,Corcaigh,CORK CITY,,CyC,Co_Ca,N,,45511,CORK CITY COUNCIL,,,,167654,71887,567611,571949,,,,,
-7.920005912604196,54.89175148420648,6,DONEGAL,Dún na nGall,DONEGAL,,CC,Co_Co,Y,,55001,DONEGAL COUNTY COUNCIL,,,,205181,404899,605132,904889,,,,,
-6.204721395905992,53.260212380659745,7,DUBLIN,Baile Átha Cliath,DUN LAOGHAIRE-RATHDOWN,,CC,Co_Co,N,,265001,DUN LAOGHAIRE-RATHDOWN COUNTY COUNCIL,,,,319852,224794,719777,724822,,,,,
-6.253978183710516,53.492396133864247,8,DUBLIN,Baile Átha Cliath,FINGAL,,CC,Co_Co,N,,265002,FINGAL COUNTY COUNCIL,,,,315933,250550,715859,750573,,,,,
-6.434589225057588,53.281096063317001,9,DUBLIN,Baile Átha Cliath,SOUTH DUBLIN,,CC,Co_Co,N,,265003,SOUTH DUBLIN COUNTY COUNCIL,,,,304463,226757,704391,726785,,,,,
-6.315065508212628,53.36031465641458,10,DUBLIN,Baile Átha Cliath,DUBLIN CITY,,CyC,Co_Ca,N,,265011,DUBLIN CITY COUNCIL,,,,312227,235754,712153,735780,,,,,
