Client ID,Age,"Gender 
1: Female, 2: Male",County,Income Group,
1,36,1,Cork,10001 - 40000,
2,43,1,Cavan,0 - 10000,
3,32,0,Dublin,10001 - 40000,
4,52,1,Louth,40001 - 60000,
5,63,0,Kilkenny,60001 - 100000,
6,33,0,Louth,10001 - 40000,
7,25,0,Dublin,10001 - 40000,
8,68,1,Kildare,60001 - 100000,
9,24,0,Cork,60001 - 100000,
10,34,0,Dublin,10001 - 40000,
11,54,0,Dublin,10001 - 40000,
12,64,0,Kilkenny,10001 - 40000,
13,31,1,Carlow,60001 - 100000,
14,33,1,Dublin,60001 - 100000,
15,37,0,Offaly,10001 - 40000,
16,29,0,Dublin,60001 - 100000,
17,51,1,Dublin,100000+,
18,23,1,Cavan,10001 - 40000,
19,30,0,Carlow,10001 - 40000,
20,27,0,Galway,60001 - 100000,
21,48,1,Dublin,10001 - 40000,
22,48,0,Wicklow,10001 - 40000,
23,41,1,Dublin,10001 - 40000,
24,57,1,Cork,10001 - 40000,
25,35,0,Dublin 4,10001 - 40000,
26,50,1,Dublin,10001 - 40000,
27,52,0,Offaly,60001 - 100000,
28,46,0,Dublin,10001 - 40000,
29,22,1,Cavan,0  ? 10000,
30,45,0,Dublin,10001 - 40000,
31,21,1,Dublin,10001 - 40000,
32,23,1,Kilkenny,10001 - 40000,
33,38,0,Dublin,10001 - 40000,
34,32,0,Dublin,60001 - 100000,
35,62,1,Galway,10001 - 40000,
36,33,1,Dublin,100000+,
37,21,1,Cork,10001 - 40000,
38,60,0,Cork,100000+,
39,27,0,Cork,10001 - 40000,
40,23,0,Dublin,60001 - 100000,
41,57,0,Dublin,100000+,
42,64,0,Cork,60001 - 100000,
43,59,0,Dublin,100000+,
44,54,0,Louth,10001 - 40000,
45,58,0,Dublin,10001 - 40000,
46,56,0,Kerry,10001 - 40000,
46,20,0,Laois,10001 - 40000,
47,55,0,Dublin,10001 - 40000,
48,45,1,Waterford,40001 - 60000,
49,29,0,Dublin,60001 - 100000,
50,68,1,Kilkenny,60001 - 100000,
51,54,1,Dublin,60001 - 100000,
52,55,1,Monaghan,100000+,
53,63,0,Mayo,10001 - 40000,
54,51,0,Cork,60001 - 100000,
55,25,0,Dublin,100000+,
56,27,1,Dublin,10001 - 40000,
57,59,1,Cork,10001 - 40000,
58,21,0,Cork,10001 - 40000,
59,63,1,Donegal,10001 - 40000,
60,40,0,Dublin,10001 - 40000,
61,32,0,Laois,10001 - 40000,
62,32,0,Waterford,10001 - 40000,
63,31,0,Cork,0 - 10000,
64,28,0,Dublin,10001 - 40000,
65,20,0,Dublin,60001 - 100000,
66,22,1,Carlow,0 - 10000,
67,43,M,Mayo,10001 - 40000,
68,43,1,Dublin,10001 - 40000,
69,37,1,Tipperary,10001 - 40000,
70,42,1,Cork,10001 - 40000,
71,66,0,Dublin,10001 - 40000,
72,32,0,Mayo,40001 - 60000,
73,67,1,Dublin,10001 - 40000,
74,66,1,Cork,40001 - 60000,
75,20,1,Dublin,10001 - 40000,
76,53,0,Cork,0 - 10000,
77,38,0,Dublin,10001 - 40000,
78,36,0,Offaly,60001 - 100000,
