Size	ID
30.00	1
16.85	2
28.80	3
25.60	4
31.30	5
40.35	6
33.60	7
31.20	8
33.70	9
39.00	10
32.00	11
18.00	12
16.00	13
16.00	14
19.90	15
18.00	16
15.80	17
21.35	18
28.30	19
28.00	20
24.20	21
24.60	22
24.90	23
23.20	24
22.00	25
28.00	26
26.00	27
26.40	28
27.00	29
26.50	30
19.90	31
23.40	32
30.30	33
24.10	34
19.45	35
22.10	36
28.90	37
29.90	38
42.70	39
39.10	40
43.70	41
34.50	42
32.60	43
21.50	44
20.90	45
19.90	46
40.40	47
5.10	48
45.10	49
41.80	50
41.60	51
34.60	52
36.60	53
36.80	54
36.40	55
34.10	56
27.50	57
