ID	Easting	Northing	Altitude	Forested	pH	SDI
27	117294	161990	45	2	7.24	48.75776398
28	114989	165877	73	1	6.45	73.52941176
29	115931	182021	75	2	6.92	67.06349206
30	120904	181242	72	2	7.09	53.1835206
31	147715	184192	89	2	6.98	57.92349727
32	159527	189332	60	2	7.36	40.57476863
33	157561	176617	68	1	7.24	47.66839378
34	157351	172758	48	2	7.37	32.69961977
35	158982	165623	49	2	7.34	36.65123457
36	167071	170498	65	2	7.65	29.79223834
37	184260	76940	55	2	7.72	29.67032967
38	195962	76148	45	2	7.56	29.34472934
39	198352	80612	45	2	7.17	35.8490566
40	201561	81488	48	2	7.34	38.70967742
41	199320	93470	30	2	7.49	29.43037975
42	211768	100165	61	1	7.49	40.8045977
43	183420	89152	77	2	7.45	26.35869565
44	182631	89168	73	2	7.81	25.26595745
45	181879	89855	69	2	7.45	27.95698925
46	185360	80574	69	2	7.49	32.03883495
47	151406	62151	78	2	7.56	28.05194805
48	140570	47594	50	2	7.37	31.81818182
49	132306	45553	50	2	7.28	42.08494208
50	129074	58432	101	2	7.38	43.9688716
51	124333	38661	50	2	7.39	44.61538462
52	115070	41773	50	2	7.36	42.14559387
53	111440	46656	53	2	7.4	46.84210526
54	99511	43916	74	2	7.27	45.35315985
55	106118	45611	68	2	7.37	49.33920705
56	119507	48930	67	1	7.07	48.45360825
57	288028	131679	45	2	7.5	36.76975945
58	278587	120413	45	2	7.53	34.10404624
59	262181	130072	109	2	7.34	34.3220339
60	255908	124174	109	2	7.94	23.76237624
61	234229	106021	102	2	6.24	66.66666667
62	231988	103981	105	2	7	51.2605042
63	230390	97920	95	1	6.93	55.17241379
64	221474	97258	44	2	7.48	36.12565445
65	217568	99281	50	2	7.52	29.76190476
66	224652	83802	94	2	7.49	40.86687307
132	200700	419100	83	1	7.15	40.13794214
133	180900	389200	101	2	6.27	67.53020677
134	183600	388900	160	2	6.44	69.43456963
136	192899	418963	97	2	6.01	66.33495453
137	194839	413968	196	2	6.13	54.43510273
67	122439	70404	120	1	7	44.60784314
68	116151	75878	119	2	6.82	55.78231293
69	119021	77663	149	2	7.37	44.79166667
70	120003	78613	159	2	7.2	51.85185185
71	106334	75448	152	2	6.87	64.81481481
72	100835	87303	64	2	7.07	67.34693878
73	108853	81532	72	1	7.18	59.84848485
74	128005	81413	186	2	6.99	50.31847134
75	126741	87630	185	2	7.23	38.7434555
76	134997	79134	144	2	7.2	40.625
146	181894	347205	105	2	8.71	22.83969974
147	186700	349900	192	2	8.45	31.48602166
77	156623	92412	93	2	7.53	30.1754386
78	164775	98154	88	1	7.73	31.04693141
79	168267	80485	86	2	7.52	27.40524781
80	171346	89484	86	1	7.4	36.11111111
81	176214	79162	62	2	7.63	28.27988338
148	156983	323193	126	1	7.85	30.23653575
149	154300	324300	156	1	7.53	46.70419613
150	154100	325100	171	1	7.35	60.15869288
194	139475	327654	134	2	8.71	35.85288382
200	144897	322297	237	2	7.22	59.17417478
151	175500	318700	87	2	8.23	16.98820161
152	176700	315700	90	2	7.92	18.67087016
207	177226	308034	69	2	8	27.86964857
82	83106	89136	75	2	7.24	47.24409449
83	76862	89086	83	2	6.64	63.73626374
84	69752	81797	114	2	7.17	65.18518519
85	62687	76903	65	1	6.67	70.99236641
86	56044	70023	74	2	6.62	74.25742574
87	67329	68720	42	2	6.91	69.53125
88	84018	78597	133	2	6.68	63.02521008
89	95172	65044	56	2	7.08	64.22764228
90	91806	56850	48	2	6.74	68.88888889
91	108859	59041	94	2	7.05	48.80952381
154	214903	324876	194	2	7.51	36.19148212
193	216604	301868	123	2	7.88	19.04660265
195	198612	318434	60	2	6.94	25.33332864
197	202901	322286	160	2	7.66	54.95117501
198	206201	326922	122	2	7.93	18.83584872
199	191178	327236	72	2	7.06	49.77891788
92	162917	108762	75	1	7.96	23.41597796
93	166507	132389	88	2	8.43	13.55932203
94	173000	159894	70	1	7.91	28.23529412
95	177457	151358	63	2	8.1	22.76923077
96	182750	148273	65	2	8.28	20.66115702
153	155100	303900	71	2	8.04	21.62920058
155	134900	320100	73	1	8.33	21.32457744
160	96902	334272	57	2	7.56	45.50677777
161	107738	336794	75	1	7.8	46.42468112
162	89937	326314	80	2	8.04	42.64065208
196	183500	316536	87	2	7.96	13.95710285
202	99156	312525	92	2	7.03	61.92379499
203	102208	340043	74	1	7.72	56.45171525
204	106652	339502	70	2	7.91	33.05921425
205	113265	335618	58	2	7.78	16.33019875
206	180070	308921	79	2	8.08	23.55222539
217	109386	333317	55	2	8.02	39.9814204
97	98127	123159	107	2	7.17	65.40084388
98	112600	135076	65	2	7.51	51.43884892
99	115080	130910	133	1	7.53	57.82608696
100	119468	146155	77	2	8.25	30.33268102
101	122141	124700	140	2	7.66	54.67980296
102	129092	110662	183	2	7.85	34.41558442
103	112035	114591	190	1	7.6	68.96551724
156	110076	295926	127	1	7.28	63.5655882
157	114276	296564	96	2	7.93	35.25545167
158	127614	291121	91	2	7.82	21.8052726
159	112100	301900	111	2	7.65	42.91999501
163	144870	285164	56	2	8.09	13.07804084
164	102399	270701	172	2	7.16	56.05133584
165	103355	270843	165	2	7.73	40.84690554
201	107675	292873	92	2	7.54	45.89161696
213	311015	220233	187	2	6.2	68.9564674
104	193073	118796	158	1	7.36	35.44303797
105	217136	119425	65	2	7.04	57.75862069
106	222100	113500	87	1	7.33	36.8852459
107	228910	119413	135	2	7.3	46.51162791
108	241856	129481	61	2	8.1	24.85380117
145	154500	380100	138	2	7.68	49.02642536
166	91809	269479	115	2	7.16	58.55123233
167	91482	274285	98	1	7.75	37.62796203
168	87157	267549	72	2	7.16	51.65841292
169	82067	272385	72	2	7.29	54.16091306
170	85199	275087	73	2	7.4	55.06901263
171	93662	259202	136	2	7.1	36.2524727
172	100019	261635	106	2	7.68	52.02630836
173	96325	256855	81	2	7.66	54.50264559
174	98477	254460	69	2	7.85	33.63177477
175	89562	259313	76	1	7.38	62.17784926
225	286174	155341	126	1	7.26	43.74273121
226	285828	156078	175	2	7.49	32.17664902
109	145704	81122	150	2	7.03	41.26984127
110	143504	89404	200	1	7.15	47.94520548
111	141336	89791	215	1	7.08	51.44927536
112	138085	82370	235	1	6.89	53.95683453
211	319105	219463	195	2	7.66	45.82917339
113	197594	181251	100	2	8.03	19.3236715
114	198171	165020	151	2	7.93	25.76923077
115	183503	168442	198	1	7.82	32.56880734
116	191901	153008	196	2	7.8	22.34042553
117	198147	149305	120	2	8.1	20.37617555
118	188039	118785	119	1	7.4	33.79310345
119	234125	177769	90	2	8.18	10.86956522
120	213547	177594	120	2	8.17	10.78582435
121	235059	152429	142	2	8.15	22.58064516
122	256744	139870	39	2	8.1	26.51006711
123	228617	140671	75	2	8.22	23.26869806
124	219910	136269	79	2	8.19	15.98360656
125	195587	133088	78	2	7.9	28.30725462
126	198345	122303	120	1	6.48	61.81818182
127	182860	119070	288	1	7.55	28.43137255
128	191456	128205	141	1	7.75	26.9058296
129	198001	128376	86	1	6.51	60.90909091
130	207834	112099	86	1	7.15	50.89285714
131	202762	111400	179	2	7.06	61.11111111
176	307947	214487	251	1	6.42	53.34980138
179	314365	209944	402	2	7.3	61.53701138
180	316277	208655	498	1	6.52	69.28876262
181	318876	206938	556	1	6.12	67.33900939
182	319288	204005	598	2	7.34	58.55566656
183	306795	213374	304	2	6.98	67.17255427
184	306037	212993	128	2	7.14	66.39464605
185	293285	198469	245	2	7.54	35.21051383
186	311362	203005	654	1	6.53	65.67338675
187	309376	199273	703	2	7.13	26.21089365
188	306632	201662	750	1	6.69	61.71702525
189	305646	201890	780	1	6.18	61.64543759
190	303631	202401	880	1	6.95	59.90362322
209	315331	209503	413	2	7.8	59.18602616
212	308822	196227	134	2	7.1	59.05085215
214	302276	216126	176	2	7.49	40.9858547
218	281082	148428	140	2	7.24	47.31449678
220	285128	144721	92	2	7.38	35.22355554
221	286391	148568	109	2	7.04	54.63346178
227	299100	150400	150	2	7.24	39.08950535
228	289755	149781	84	2	7.67	34.39861131
229	253187	236942	72	2	8.32	6.309373859
230	224065	269183	77	2	8.67	11.38070803
231	203509	309972	63	2	7.68	23.2201325
232	204877	310890	61	2	7.49	32.06174212
233	215461	319636	84	2	6.53	40.68135849
234	220952	317782	43	2	8.13	14.26681217
235	223063	317614	59	2	7.72	27.25168509
236	260071	339709	83	2	7.58	23.11730091
237	262703	343961	100	2	7.78	16.69610067
238	252923	311257	62	2	8.54	20.9631229
239	266288	299803	139	2	7.99	30.15551903
240	261054	293539	104	2	8.61	40.60874893
242	272328	305928	92	2	7.76	20.86764442
243	315353	309769	97	2	8.22	21.03820786
244	295802	284439	134	2	8.38	11.99675082
245	301400	284600	116	2	8.76	18.3816896
255	311604	183153	150	1	7.24	41.80367845
246	292755	181638	112	2	7.23	15.83906985
247	297775	163973	56	2	6.83	28.553749
248	290949	161321	53	2	7.41	23.67213807
249	304968	177164	104	2	7.53	35.96293656
250	298281	180719	134	2	7.45	28.37256647
251	298178	181059	124	2	7.64	36.90167644
252	307483	174981	63	2	7.39	35.61278522
253	306972	167502	120	1	7.19	48.18107928
254	301800	174800	55	2	7.14	36.30357547
256	305572	186129	189	1	4.92	58.49126668
257	299800	175280	54	2	7.1	34.50067103
