Month	CTL 	CW 	PLdx 	PWdx 	PLsx 	PWsx	Weight	Sex	Maturity
May_04	47.6	19.7	23.8	17.8	NA	NA	23.5	f	4
May_04	45.1	18.6	NA	NA	26.0	7.8	16.5	m	2
May_04	59.7	26.4	39.5	15.0	40.7	14.3	50.0	f	4
May_04	51.2	21.4	39.1	13.6	39.5	13.8	33.0	m	1
May_04	59.6	24.4	42.8	14.9	41.2	15.4	50.0	f	4
May_04	44.5	18.7	24.5	9.2	26.9	9.5	20.0	f	3
May_04	45.8	20.5	27.2	11.0	25.4	10.5	23.0	f	3
May_04	42.2	17.7	24.6	7.4	16.3	3.8	16.0	m	2
May_04	54.9	25.8	47.4	17.3	51.5	19.5	52.0	m	1
May_04	65.1	28.6	65.7	21.5	NA	NA	63.0	m	1
May_04	31.3	13.0	14.7	5.1	15.2	4.7	7.5	m	2
May_04	41.3	17.6	21.9	8.7	NA	NA	15.0	f	2
May_04	40.1	17.2	24.8	8.5	24.5	8.5	15.5	f	2
May_04	55.1	24.0	NA	NA	39.1	14.4	22.5	m	1
May_04	45.1	19.8	NA	15.1	NA	NA	22.5	m	1
May_04	41.7	17.5	36.4	12.1	37.2	12.8	21.0	m	2
May_04	43.0	18.8	34.9	10.3	31.5	10.1	21.5	m	2
May_04	39.5	18.0	23.4	7.8	26.3	9.7	17.5	f	2
May_04	49.5	22.2	32.2	11.8	NA	NA	27.5	f	4
May_04	51.2	20.8	39.4	13.3	40.5	13.5	30.5	m	1
May_04	50.2	22.4	32.8	12.4	32.2	12.2	31.0	f	2
May_04	52.5	23.4	46.4	13.9	46.7	16.4	40.0	m	1
May_04	57.6	25.2	50.1	15.0	NA	16.0	49.0	m	1
May_04	NA	NA	NA	NA	NA	NA	NA	m	1
May_04	NA	NA	NA	NA	NA	NA	NA	f	3
May_04	NA	NA	NA	NA	NA	NA	NA	f	2
May_04	NA	NA	NA	NA	NA	NA	NA	m	1
May_04	NA	NA	NA	NA	NA	NA	NA	f	3
May_04	NA	NA	NA	NA	NA	NA	NA	f	3
May_04	NA	NA	NA	NA	NA	NA	NA	m	1
May_04	NA	NA	NA	NA	NA	NA	NA	f	2
May_04	NA	NA	NA	NA	NA	NA	NA	m	2
May_04	NA	NA	NA	NA	NA	NA	NA	f	2
May_04	NA	NA	NA	NA	NA	NA	NA	f	2
May_04	NA	NA	NA	NA	NA	NA	NA	f	2
May_04	NA	NA	NA	NA	NA	NA	NA	m	2
May_04	NA	NA	NA	NA	NA	NA	NA	m	1
May_04	NA	NA	NA	NA	NA	NA	NA	m	1
May_04	NA	NA	NA	NA	NA	NA	NA	m	2
May_04	NA	NA	NA	NA	NA	NA	NA	m	1
May_04	NA	NA	NA	NA	NA	NA	NA	f	2
May_04	NA	NA	NA	NA	NA	NA	NA	m	2
May_04	NA	NA	NA	NA	NA	NA	NA	f	2
May_04	NA	NA	NA	NA	NA	NA	NA	f	1
May_04	NA	NA	NA	NA	NA	NA	NA	m	2
May_04	NA	NA	NA	NA	NA	NA	NA	f	2
May_04	NA	NA	NA	NA	NA	NA	NA	m	2
May_04	NA	NA	NA	NA	NA	NA	NA	m	2
May_04	NA	NA	NA	NA	NA	NA	NA	m	2
May_04	NA	NA	NA	NA	NA	NA	NA	f	3
May_04	NA	NA	NA	NA	NA	NA	NA	f	2
May_04	NA	NA	NA	NA	NA	NA	NA	m	2
May_04	NA	NA	NA	NA	NA	NA	NA	f	1
May_04	NA	NA	NA	NA	NA	NA	NA	f	1
May_04	NA	NA	NA	NA	NA	NA	NA	m	2
May_04	NA	NA	NA	NA	NA	NA	NA	f	1
May_04	NA	NA	NA	NA	NA	NA	NA	f	1
May_04	NA	NA	NA	NA	NA	NA	NA	m	2
May_04	NA	NA	NA	NA	NA	NA	NA	m	2
May_04	NA	NA	NA	NA	NA	NA	34.5	m	1
May_04	NA	NA	NA	NA	NA	NA	29.5	f	2
May_04	61.0	27.1	61.5	22.3	61.1	22.3	63.5	m	1
May_04	62.3	26.5	65.5	19.3	62.8	18.3	59.5	m	1
May_04	NA	NA	NA	NA	NA	NA	35.0	m	1
May_04	NA	NA	NA	NA	NA	NA	30.5	m	2
May_04	NA	NA	NA	NA	NA	NA	21.5	f	2
May_04	NA	NA	NA	NA	NA	NA	41.5	f	2
May_04	43.3	18.3	35.9	11.9	36.6	11.2	18.5	m	1
May_04	NA	NA	NA	NA	NA	NA	50.0	m	1
May_04	NA	NA	NA	NA	NA	NA	30.5	f	2
May_04	NA	NA	NA	NA	NA	NA	26.0	m	2
May_04	NA	NA	NA	NA	NA	NA	32.5	f	2
May_04	NA	NA	NA	NA	NA	NA	46.0	f	3
May_04	NA	NA	NA	NA	NA	NA	40.5	f	3
May_04	NA	NA	NA	NA	NA	NA	29.5	m	2
May_04	NA	NA	NA	NA	NA	NA	33.5	f	2
May_04	NA	NA	NA	NA	NA	NA	NA	f	2
May_04	NA	NA	NA	NA	NA	NA	65.0	f	4
May_04	NA	NA	NA	NA	NA	NA	51.5	f	2
May_04	NA	NA	NA	NA	NA	NA	NA	m	1
May_04	NA	NA	NA	NA	NA	NA	13.0	f	1
May_04	NA	NA	NA	NA	NA	NA	39.5	f	2
May_04	NA	NA	NA	NA	NA	NA	NA	m	2
May_04	NA	NA	NA	NA	NA	NA	24.5	f	1
May_04	NA	NA	NA	NA	NA	NA	45.5	m	1
May_04	NA	NA	NA	NA	NA	NA	51.0	m	1
May_04	NA	NA	NA	NA	NA	NA	42.5	m	1
May_04	NA	NA	NA	NA	NA	NA	34.0	m	1
May_04	NA	NA	NA	NA	NA	NA	31.5	f	2
May_04	NA	NA	NA	NA	NA	NA	29.5	f	2
May_04	NA	NA	NA	NA	NA	NA	32.0	m	1
May_04	NA	NA	NA	NA	NA	NA	52.0	m	1
May_04	NA	NA	NA	NA	NA	NA	33.5	m	1
May_04	NA	NA	NA	NA	NA	NA	53.0	f	2
May_04	NA	NA	NA	NA	NA	NA	40.5	m	1
May_04	NA	NA	NA	NA	NA	NA	35.0	m	2
May_04	56.5	24.3	56.7	17.5	56.9	17.8	46.5	m	1
May_04	63.0	26.6	64.9	20.8	61.8	19.0	61.0	m	1
May_04	62.6	27.4	45.5	16.2	45.9	16.5	53.5	f	4
May_04	47.1	20.2	43.6	14.7	44.3	14.5	27.0	m	2
May_04	58.2	25.1	35.7	13.3	36.8	13.3	39.0	f	3
May_04	46.2	19.4	41.2	11.8	41.6	11.6	23.0	m	2
May_04	58.1	25.6	55.8	15.0	60.3	19.3	51.5	m	1
May_04	64.2	27.0	44.7	17.1	50.0	19.0	58.0	f	4
May_04	47.4	20.9	43.0	14.6	49.8	12.0	27.0	m	2
