WDS	LDS	WMS	LMS	WGS	LGS	WAS	LAS	Area	Morphotypes
1.70	1.12	0.35	0.44	0.73	0.55	0.27	0.13	1	2
1.71	1.20	0.33	0.46	0.76	0.58	0.25	0.15	1	2
1.73	1.17	0.33	0.46	0.73	0.57	0.28	0.16	1	2
1.71	1.15	0.34	0.42	0.71	0.56	0.27	0.15	1	2
1.66	1.15	0.33	0.44	0.69	0.59	0.26	0.14	1	2
1.76	1.15	0.35	0.48	0.75	0.56	0.2	0.14	1	2
1.71	1.18	0.32	0.46	0.72	0.53	0.28	0.14	1	2
1.66	1.20	0.35	0.44	0.72	0.55	0.28	0.15	1	2
1.68	1.20	0.33	0.47	0.74	0.53	0.21	0.16	1	2
1.73	1.20	0.34	0.45	0.75	0.53	0.27	0.15	1	2
1.66	1.12	0.34	0.45	0.73	0.56	0.25	0.15	1	2
1.68	1.15	0.35	0.45	0.71	0.59	0.26	0.16	1	2
1.73	1.12	0.35	0.45	0.72	0.58	0.29	0.16	1	2
1.73	1.17	0.33	0.46	0.72	0.59	0.28	0.18	1	2
1.76	1.12	0.35	0.45	0.74	0.66	0.26	0.17	1	2
1.56	1.10	0.32	0.4	0.66	0.55	0.25	0.16	1	2
1.71	1.10	0.34	0.45	0.72	0.59	0.26	0.16	1	2
1.56	1.07	0.33	0.43	0.65	0.58	0.23	0.13	1	2
1.76	1.12	0.35	0.45	0.74	0.6	0.28	0.15	1	2
1.76	1.12	0.36	0.44	0.74	0.58	0.27	0.16	1	2
1.73	1.10	0.36	0.47	0.71	0.6	0.25	0.17	1	2
1.76	1.02	0.37	0.47	0.75	0.59	0.26	0.16	1	2
1.68	1.17	0.32	0.43	0.69	0.55	0.26	0.15	1	2
1.63	1.12	0.35	0.45	0.68	0.55	0.27	0.17	1	2
1.71	1.12	0.35	0.45	0.71	0.55	0.28	0.15	1	2
1.71	1.00	0.35	0.45	0.73	0.56	0.29	0.15	1	2
1.71	1.07	0.35	0.44	0.73	0.58	0.28	0.15	1	2
1.66	1.12	0.33	0.43	0.71	0.55	0.27	0.15	1	2
1.71	1.12	0.35	0.44	0.71	0.57	0.26	0.14	1	2
1.71	1.10	0.33	0.45	0.74	0.55	0.26	0.16	1	2
1.61	1.12	0.35	0.45	0.67	0.56	0.25	0.15	2	2
1.73	1.15	0.35	0.45	0.7	0.52	0.26	0.16	2	2
1.68	1.10	0.35	0.44	0.7	0.52	0.26	0.16	2	2
1.73	1.17	0.35	0.45	0.73	0.57	0.26	0.16	2	2
1.71	1.10	0.34	0.42	0.72	0.56	0.25	0.15	2	2
1.68	1.15	0.34	0.44	0.72	0.54	0.26	0.15	2	2
1.68	1.17	0.33	0.44	0.72	0.52	0.28	0.15	2	2
1.66	1.12	0.34	0.47	0.7	0.56	0.27	0.15	2	2
1.68	1.12	0.34	0.45	0.7	0.51	0.25	0.15	2	2
