Length	Width	month
0.8	0.4	8
0.5	0.3	8
0.8	0.4	8
0.7	0.4	8
0.6	0.3	8
0.9	0.5	8
0.8	0.4	8
1	0.5	8
0.85	0.4	8
0.5	0.25	8
0.9	0.5	8
0.6	0.3	8
0.4	0.2	8
0.5	0.3	8
0.5	0.3	8
0.95	0.45	8
0.8	0.4	8
0.7	0.5	8
0.7	0.4	8
0.5	0.3	8
0.9	0.5	8
0.6	0.3	8
0.4	0.2	8
0.5	0.3	8
0.5	0.3	8
0.25	0.45	8
0.8	0.4	8
0.7	0.5	8
0.7	0.4	8
0.5	0.3	8
0.9	0.5	8
1.2	0.6	8
0.8	0.84	8
0.4	0.2	8
1.1	0.5	8
1.1	0.5	8
0.9	0.4	8
1.1	0.5	8
1	0.5	8
1	0.5	8
0.8	0.4	8
1.05	0.5	8
1	0.5	8
0.95	0.45	8
0.9	0.4	8
1	0.5	8
1	0.5	8
1	0.5	8
0.8	0.4	8
0.9	0.4	8
1	0.5	8
1	0.5	8
0.95	0.45	8
0.8	0.4	8
1	0.5	8
1.1	0.5	8
1.1	0.5	8
0.95	0.45	8
0.8	0.4	8
0.5	0.2	8
0.4	0.1	8
0.2	0.1	8
0.5	0.3	8
0.4	0.15	8
0.5	0.2	8
0.5	0.2	8
0.5	0.2	8
0.4	0.15	8
0.5	0.2	8
0.4	0.15	8
0.4	0.15	8
0.3	0.1	8
0.4	0.2	8
0.4	0.2	8
0.55	0.2	8
0.5	0.2	8
0.5	0.2	8
0.5	0.2	8
0.4	0.2	8
0.4	0.2	8
0.4	0.2	8
0.4	0.2	8
0.3	0.15	8
0.4	0.2	8
0.4	0.2	8
0.3	0.15	8
0.5	0.2	8
0.9	0.5	10
0.9	0.4	10
0.8	0.4	10
0.6	0.3	10
0.55	0.2	10
0.7	0.35	10
0.7	0.3	10
0.5	0.2	10
0.55	0.3	10
0.6	0.3	10
0.7	0.35	10
0.65	0.3	10
0.7	0.35	10
0.65	0.3	10
0.7	0.3	10
0.9	0.5	10
0.8	0.4	10
1	0.5	10
0.8	0.4	10
0.4	0.2	10
0.4	0.2	10
0.3	0.15	10
0.85	0.4	10
0.3	0.15	10
0.7	0.3	10
0.4	0.15	10
0.5	0.2	10
0.5	0.2	10
0.4	0.2	10
0.3	0.1	10
0.5	0.2	10
0.4	0.2	10
0.45	0.2	10
1	0.5	10
0.6	0.3	10
0.6	0.3	10
0.6	0.3	10
0.5	0.2	10
0.9	0.45	10
0.9	0.4	10
0.7	0.35	10
0.55	0.2	10
0.5	0.2	10
0.55	0.2	10
0.45	0.2	10
0.6	0.2	10
0.55	0.2	10
0.55	0.2	10
0.6	0.2	10
0.4	0.2	10
0.5	0.2	10
0.6	0.15	10
0.55	0.2	10
0.6	0.25	10
0.55	0.2	10
0.5	0.2	10
0.5	0.2	10
0.5	0.2	10
0.55	0.2	10
0.5	0.2	10
0.7	0.3	10
0.6	0.2	10
0.7	0.3	10
0.3	0.15	10
0.6	0.25	10
0.5	0.2	10
0.5	0.3	10
0.8	0.4	10
1.1	0.55	10
1	0.5	10
0.8	0.5	10
0.85	0.4	10
0.9	0.4	10
0.9	0.4	10
1	0.5	10
0.9	0.45	10
0.3	0.15	10
1.1	0.6	10
0.7	0.3	10
0.7	0.3	10
1.1	0.6	10
1	0.5	10
1	0.55	10
0.8	0.4	10
1	0.5	10
1.75	0.85	10
0.5	0.2	10
1	0.5	10
0.5	0.2	10
0.5	0.2	10
0.7	0.3	10
0.6	0.3	10
0.6	0.25	10
0.6	0.3	10
0.9	0.45	10
0.8	0.4	10
0.5	0.2	10
0.45	0.2	10
0.4	0.2	10
0.4	0.2	10
0.3	0.15	10
0.4	0.2	10
0.3	0.15	10
0.7	0.3	10
1	0.5	10
0.8	0.4	10
0.5	0.15	10
0.5	0.2	10
0.7	0.4	10
0.5	0.2	10
0.6	0.3	10
0.8	0.4	10
1.1	0.6	10
0.8	0.4	10
0.9	0.5	10
1	0.6	10
0.8	0.4	10
0.5	0.25	10
0.6	0.2	10
1.05	0.55	10
0.6	0.3	10
0.8	0.4	10
0.4	0.15	10
1	0.5	10
1	0.5	10
0.8	0.4	10
0.6	0.3	10
0.81	0.4	10
