parasites	cell			
0	0.014			
0	0.283			
0	0.354			
0	0.366			
0	0.372			
0	0.386			
0	0.389			
0	0.392			
0	0.393			
0	0.393			
0	0.393			
0	0.396			
0	0.396			
0	0.397			
0	0.401			
0	0.404			
0	0.406			
0	0.407			
0	0.407			
0	0.407			
0	0.407			
0	0.407			
0	0.409			
0	0.409			
0	0.409			
0	0.413			
0	0.414			
0	0.414			
0	0.415			
0	0.415			
0	0.415			
0	0.415			
0	0.415			
0	0.415			
0	0.416			
0	0.416			
0	0.417			
0	0.418			
0	0.418			
0	0.418			
0	0.418			
0	0.418			
0	0.418			
0	0.421			
0	0.421			
0	0.421			
0	0.421			
0	0.421			
0	0.421			
0	0.424			
0	0.424			
0	0.425			
0	0.425			
0	0.425			
0	0.425			
0	0.426			
0	0.426			
0	0.426			
0	0.426			
0	0.427			
0	0.427			
0	0.427			
0	0.427			
0	0.428			
0	0.429			
0	0.430			
0	0.430			
0	0.430			
0	0.430			
0	0.430			
0	0.43			
0	0.431			
0	0.432			
0	0.432			
0	0.434			
0	0.434			
0	0.434			
0	0.434			
0	0.434			
0	0.434			
0	0.434			
0	0.435			
0	0.436			
0	0.436			
0	0.436			
0	0.438			
0	0.438			
0	0.438			
0	0.440			
0	0.440			
0	0.441			
0	0.441			
0	0.442			
0	0.442			
0	0.442			
0	0.442			
0	0.442			
0	0.442			
0	0.442			
0	0.442			
0	0.443			
0	0.444			
0	0.444			
0	0.444			
0	0.444			
0	0.444			
0	0.444			
0	0.445			
0	0.445			
0	0.445			
0	0.445			
0	0.445			
0	0.445			
0	0.446			
0	0.446			
0	0.446			
0	0.446			
0	0.446			
0	0.446			
0	0.446			
0	0.446			
0	0.446			
0	0.447			
0	0.447			
0	0.447			
0	0.447			
0	0.447			
0	0.447			
0	0.447			
0	0.447			
0	0.447			
0	0.448			
0	0.448			
0	0.448			
0	0.448			
0	0.449			
0	0.450			
0	0.450			
0	0.450			
0	0.450			
0	0.450			
0	0.450			
0	0.450			
0	0.450			
0	0.450			
0	0.451			
0	0.451			
0	0.451			
0	0.451			
0	0.452			
0	0.452			
0	0.454			
0	0.454			
0	0.454			
0	0.454			
0	0.454			
0	0.455			
0	0.455			
0	0.455			
0	0.456			
0	0.456			
0	0.456			
0	0.456			
0	0.456			
0	0.456			
0	0.456			
0	0.456			
0	0.456			
0	0.456			
0	0.456			
0	0.456			
0	0.457			
0	0.457			
0	0.457			
0	0.457			
0	0.457			
0	0.457			
0	0.457			
0	0.458			
0	0.458			
0	0.458			
0	0.459			
0	0.459			
0	0.459			
0	0.459			
0	0.459			
0	0.459			
0	0.459			
0	0.460			
0	0.460			
0	0.460			
0	0.461			
0	0.461			
0	0.461			
0	0.461			
0	0.461			
0	0.461			
0	0.461			
0	0.461			
0	0.461			
0	0.462			
0	0.462			
0	0.462			
0	0.462			
0	0.462			
0	0.462			
0	0.462			
0	0.462			
0	0.462			
0	0.463			
0	0.463			
0	0.463			
0	0.464			
