Sex	Stage	IS	VAR26	Nstage	Sex_Stage
1	2	28	112	1	1
1	2	33	115.2	1	1
1	2	27	103.9	1	1
1	2	29	110.3	1	1
1	2	33	109.4	1	1
1	2	27	105	1	1
1	2	27	109.2	1	1
1	2	36	103.8	1	1
1	2	30	109.1	1	1
1	2	29	108.4	1	1
1	2	30	102.3	1	1
1	2	28	106	1	1
2	2	28	86.7	2	2
2	2	29	79	2	2
2	2	33	90.2	2	2
2	2	30	84.7	2	2
2	2	32	84.9	2	2
2	2	32	82	2	2
2	2	35	89	2	2
2	2	32	86.5	2	2
2	2	35	89.7	2	2
2	2	32	81.6	2	2
2	1	14	75.5	4	2
2	1	12	66.3	4	2
2	1	21	69.9	4	2
2	1	14	70.8	4	2
2	1	15	72.5	4	2
2	1	15	68.5	4	2
2	1	15	69.5	4	2
2	1	16	69.2	4	2
2	1	16	66.9	4	2
2	1	17	68.2	4	2
2	1	18	71.7	4	2
2	1	19	66	4	2
2	1	20	70.5	4	2
2	1	12	69.3	4	2
1	1	12	72.3	3	2
1	1	16	66.4	3	2
1	1	21	68.2	3	2
1	1	21	70.6	3	2
1	1	22	73.4	3	2
1	1	22	71.9	3	2
1	1	16	71.5	3	2
1	1	10	70	3	2
1	1	24	73.8	3	2
1	1	26	75.7	3	2
1	1	15	69.6	3	2
1	1	15	68	3	2
1	1	14	72.1	3	2
1	1	17	73.5	3	2
1	1	14	68.1	3	2
1	1	17	68.4	3	2
1	1	18	66	3	2
1	1	18	69.4	3	2
1	1	13	73.6	3	2
1	1	14	70.3	3	2
1	1	18	72.9	3	2
1	1	18	72.33	3	2
1	1	17	71.6	3	2
1	1	14	71.4	3	2
1	1	23	78.9	3	2
1	1	12	68.9	3	2
1	1	12	67.6	3	2
1	1	20	70.3	3	2
1	1	20	74.1	3	2
1	1	20	74.4	3	2
1	1	23	74	3	2
1	2	28	85.9	1	1
1	1	28	78.5	3	2
1	2	29	83.9	1	1
1	2	28	87.6	1	1
1	2	31	96.7	1	1
