Station	Sources	Eddy	Depth 	Temp	Salinity	Oxgen	flcugl	Latitude	Longitude	Location	
52	50.45166107	0	310	13.1871	35.7673	5.18181	0.0116	42.9337	-28.152	1	
52	38.4173199	0	335	13.0224	35.7404	5.17089	0.0098	42.9337	-28.152	1	
52	31.47443076	0	360	12.8085	35.7069	4.99763	0.0088	42.9337	-28.152	1	
52	29.39156402	0	380	12.6393	35.6778	5.0478	0.0097	42.9337	-28.152	1	
52	35.64016424	0	405	12.3728	35.6359	5.04343	0.0061	42.9337	-28.152	1	
52	42.1201941	0	430	12.1451	35.6046	4.92832	0.0085	42.9337	-28.152	1	
52	40.03732736	0	455	11.9836	35.5843	4.89	0.0099	42.9337	-28.152	1	
52	41.42590519	0	480	11.7718	35.5557	4.76505	0.0097	42.9337	-28.152	1	
52	40.73161627	0	500	11.6067	35.5334	4.70517	0.0079	42.9337	-28.152	1	
52	40.268757	0	525	11.4423	35.5119	4.66618	0.0117	42.9337	-28.152	1	
52	40.268757	0	550	11.1734	35.4745	4.72733	0.0096	42.9337	-28.152	1	
52	36.10302352	0	575	10.9213	35.4356	4.8269	0.0095	42.9337	-28.152	1	
52	43.74020157	0	600	10.6129	35.3907	4.79493	0.0116	42.9337	-28.152	1	
52	41.19447555	0	625	10.3068	35.3558	4.67654	0.0183	42.9337	-28.152	1	
52	41.65733483	0	650	9.9867	35.3333	4.49721	0.0133	42.9337	-28.152	1	 
52	35.17730496	0	675	9.8409	35.3449	4.27366	0.0104	42.9337	-28.152	1	
52	36.56588279	0	695	9.9035	35.3881	4.19711	0.0103	42.9337	-28.152	1	
52	32.16871967	0	720	9.3655	35.3084	4.14735	0.0115	42.9337	-28.152	1	
52	31.93729003	0	745	9.2245	35.3247	4.13695	0.0134	42.9337	-28.152	1	
52	33.5572975	0	770	8.7953	35.2644	4.2016	0.01	42.9337	-28.152	1	
52	41.88876446	0	795	7.9489	35.1292	4.37708	0.0138	42.9337	-28.152	1	
52	38.88017917	0	820	7.2107	35.0617	4.50779	0.0122	42.9337	-28.152	1	
52	35.17730496	0	845	7.1619	35.074	4.53948	0.0142	42.9337	-28.152	1	
52	38.64874953	0	865	7.2136	35.1213	4.52943	0.0113	42.9337	-28.152	1	
52	30.54871221	0	890	7.3603	35.2077	4.50502	0.0099	42.9337	-28.152	1	
