Biomass	Treatment	Nutrient	Concentration
0	NoAlgae	NO3	2.49
0	NoAlgae	NO3	1.185
0	NoAlgae	NO3	3.825
0.5	NoAlgae	NO3	3.045
0.5	NoAlgae	NO3	2.19
0.5	NoAlgae	NO3	3.6
1	NoAlgae	NO3	2.835
1	NoAlgae	NO3	2.475
1	NoAlgae	NO3	1.995
1	NoAlgae	NO3	2.985
1	NoAlgae	NO3	1.425
1	NoAlgae	NO3	2.97
1.5	NoAlgae	NO3	1.56
1.5	NoAlgae	NO3	1.305
1.5	NoAlgae	NO3	2.4
2	NoAlgae	NO3	1.95
2	NoAlgae	NO3	1.815
2	NoAlgae	NO3	1.05
0	Algae	NO3	0.015
0	Algae	NO3	0
0	Algae	NO3	0
0.5	Algae	NO3	0
0.5	Algae	NO3	0.03
0.5	Algae	NO3	0.03
1	Algae	NO3	0.045
1	Algae	NO3	1.755
1	Algae	NO3	0
1	Algae	NO3	0
1	Algae	NO3	0
1	Algae	NO3	0.015
1.5	Algae	NO3	0
1.5	Algae	NO3	0.075
1.5	Algae	NO3	0
2	Algae	NO3	0
2	Algae	NO3	0.015
2	Algae	NO3	0.03
0	NoAlgae	NH4	0.05
0	NoAlgae	NH4	0.105
0	NoAlgae	NH4	0.105
0.5	NoAlgae	NH4	0.79
0.5	NoAlgae	NH4	0.21
0.5	NoAlgae	NH4	2.1
1	NoAlgae	NH4	1.159
1	NoAlgae	NH4	1.001
1	NoAlgae	NH4	2.52
1	NoAlgae	NH4	3.16
1	NoAlgae	NH4	0.42
1	NoAlgae	NH4	0.5227
1.5	NoAlgae	NH4	1.159
1.5	NoAlgae	NH4	0.42
1.5	NoAlgae	NH4	0.52
2	NoAlgae	NH4	1.106
2	NoAlgae	NH4	0.42
2	NoAlgae	NH4	3.74
0	Algae	NH4	13.8
0	Algae	NH4	24.08
0	Algae	NH4	10.06
0.5	Algae	NH4	11.01
0.5	Algae	NH4	7.53
0.5	Algae	NH4	17.54
1	Algae	NH4	18.49
1	Algae	NH4	0.527
1	Algae	NH4	25.29
1	Algae	NH4	15.96
1	Algae	NH4	9.538
1	Algae	NH4	15.81
1.5	Algae	NH4	23.5
1.5	Algae	NH4	15.17
1.5	Algae	NH4	27.5
2	Algae	NH4	20.65
2	Algae	NH4	11.07
2	Algae	NH4	16.54
0	NoAlgae	PO3	0.122
0	NoAlgae	PO3	0.094
0	NoAlgae	PO3	0.1692
0.5	NoAlgae	PO3	0.5452
0.5	NoAlgae	PO3	0.3384
0.5	NoAlgae	PO3	1.2972
1	NoAlgae	PO3	0.9306
1	NoAlgae	PO3	0.8554
1	NoAlgae	PO3	0.9494
1	NoAlgae	PO3	1.3254
1	NoAlgae	PO3	0.4324
1	NoAlgae	PO3	0.6804
1.5	NoAlgae	PO3	0.6862
1.5	NoAlgae	PO3	0.4606
1.5	NoAlgae	PO3	0.8178
2	NoAlgae	PO3	0.675
2	NoAlgae	PO3	0.4042
2	NoAlgae	PO3	1.3724
0	Algae	PO3	3.0456
0	Algae	PO3	1.5886
0	Algae	PO3	1.7014
0.5	Algae	PO3	2.8512
0.5	Algae	PO3	1.1844
0.5	Algae	PO3	2.8782
1	Algae	PO3	3.6774
1	Algae	PO3	0.7802
1	Algae	PO3	4.2112
1	Algae	PO3	1.6092
1	Algae	PO3	2.9798
1	Algae	PO3	1.9646
1.5	Algae	PO3	2.2248
1.5	Algae	PO3	2.0774
1.5	Algae	PO3	3.4968
2	Algae	PO3	2.9516
2	Algae	PO3	1.9458
2	Algae	PO3	2.3922
