LengthM	BiomassM	LengthD	BiomassD
13.76	0.0124	30.250	0.274
9.40	0.0054	23.050	0.110
8.20	0.0047	26.890	0.171
9.26	0.0053	19.380	0.060
8.60	0.0028	23.760	0.094
9.80	0.0052	23.610	0.117
7.20	0.0015	24.360	0.127
8.60	0.0021	27.410	0.198
7.10	0.0023	29.010	0.250
7.09	0.0034	26.450	0.209
10.08	0.0057	24.890	0.166
15.16	0.0184	25.360	0.148
11.58	0.0066	22.500	0.091
15.04	0.0222	22.760	0.115
6.08	0.0020	27.090	0.158
6.42	0.0015	24.130	0.152
66.22	1.1487	25.510	0.147
69.74	0.7726	23.680	0.131
68.50	0.8259	24.910	0.132
64.32	1.0904	22.900	0.129
58.20	0.6747	23.200	0.136
58.32	0.9032	11.670	0.015
54.96	0.7031	10.210	0.011
52.30	0.5881	9.930	0.009
51.72	0.5821	9.950	0.009
49.90	0.4819	19.780	0.095
47.70	0.4278	8.160	0.004
49.30	0.4986	9.020	0.007
46.73	0.4133	8.150	0.006
47.12	0.4366	7.460	0.004
45.87	0.5334	7.550	0.004
47.06	0.4143	7.130	0.003
43.38	0.3171	5.990	0.002
42.28	0.3832	5.660	0.002
44.18	0.2664	5.820	0.002
34.36	0.1930	10.380	0.010
30.00	0.0896	25.010	0.143
16.85	0.0169	25.660	0.159
28.80	0.0716	24.090	0.120
25.60	0.0547	12.320	0.019
31.30	0.1140	11.660	0.017
40.35	0.2140	11.060	0.015
33.60	0.1631	12.120	0.018
31.20	0.1289	13.850	0.026
33.70	0.1622	11.690	0.017
39.00	0.2180	11.470	0.014
32.00	0.1251	10.010	0.011
18.00	0.0276	9.990	0.010
13.00	0.0130	14.210	0.032
16.00	0.0201	13.920	0.027
14.50	0.0201	14.710	0.031
14.00	0.0197	13.970	0.025
15.80	0.0236	14.330	0.028
21.35	0.0486	12.890	0.024
28.30	0.0946	12.880	0.021
28.00	0.0919	13.770	0.025
24.20	0.0549	9.350	0.009
24.60	0.0602	12.850	0.023
24.90	0.0597	13.130	0.019
23.20	0.0540	11.420	0.015
22.00	0.0423	12.170	0.015
28.00	0.0693	10.240	0.012
26.00	0.0669	12.260	0.015
26.40	0.0757	12.360	0.020
27.00	0.0700	12.360	0.019
26.50	0.0720	10.310	0.013
23.40	0.0487	11.900	0.014
30.30	0.0883	12.010	0.017
24.10	0.0521	12.250	0.016
19.45	0.0288	12.360	0.019
22.10	0.0375	12.560	0.019
28.90	0.0655	12.250	0.019
29.90	0.0876	11.840	0.016
71.20	1.0953	12.360	0.020
75.00	1.4580	12.860	0.022
74.00	1.5444	12.150	0.018
63.40	0.8570	15.530	0.041
73.20	1.1181	13.010	0.021
70.60	1.3286	14.690	0.031
53.50	0.5610	14.650	0.030
53.60	0.6341	14.890	0.032
56.80	0.6920	14.610	0.031
53.00	0.5365	13.870	0.031
51.80	0.5157	13.560	0.025
51.80	0.3933	13.720	0.027
50.40	0.4659	14.150	0.027
48.40	0.4783	13.550	0.030
45.10	0.3594	14.470	0.035
41.80	0.3104	23.150	0.107
41.60	0.1881	22.120	0.108
34.60	0.1385	13.750	0.026
36.60	0.1596	13.480	0.028
36.80	0.1565	14.410	0.030
36.40	0.1671	15.020	0.037
34.10	0.1486	13.440	0.026
27.50	0.0757	12.800	0.020
8.28	0.0226	13.080	0.023
7.22	0.0058	13.990	0.024
65.10	0.4861	13.400	0.028
61.00	0.6416	14.870	0.035
55.20	0.6079	12.950	0.021
50.00	0.5209	12.790	0.024
50.70	0.5206	13.920	0.029
50.90	0.4888	14.240	0.030
42.70	0.3096	15.250	0.035
39.10	0.1943	14.520	0.034
43.70	0.2480	13.970	0.027
34.50	0.1147	12.550	0.022
32.60	0.1109	13.430	0.029
21.50	0.0667	14.100	0.032
20.90	0.4430	12.840	0.022
19.90	0.0412	12.980	0.022
17.00	0.0326	13.590	0.028
5.60	0.0053	13.930	0.027
NA 	NA 	14.990	0.033
NA 	NA 	10.610	0.012
NA 	NA 	8.410	0.007
NA 	NA 	14.160	0.031
NA 	NA 	13.750	0.024
NA 	NA 	13.030	0.021
NA 	NA 	11.020	0.014
NA 	NA 	10.080	0.010
NA 	NA 	9.500	0.009
NA 	NA 	11.210	0.016
NA 	NA 	11.430	0.015
NA 	NA 	15.400	0.029
NA 	NA 	10.190	0.011
NA 	NA 	10.430	0.010
NA 	NA 	10.500	0.010
NA 	NA 	11.450	0.013
NA 	NA 	10.690	0.012
NA 	NA 	11.300	0.014
NA 	NA 	10.970	0.011
NA 	NA 	7.700	0.004
NA 	NA 	13.360	0.022
NA 	NA 	12.910	0.017
NA 	NA 	12.840	0.024
NA 	NA 	12.620	0.016
NA 	NA 	13.350	0.021
NA 	NA 	11.840	0.017
NA 	NA 	11.630	0.014
NA 	NA 	11.710	0.014
NA 	NA 	12.130	0.017
NA 	NA 	8.600	0.006
NA 	NA 	9.300	0.007
NA 	NA 	14.210	0.026
NA 	NA 	13.840	0.028
NA 	NA 	13.580	0.025
NA 	NA 	13.900	0.027
NA 	NA 	13.840	0.023
NA 	NA 	13.900	0.023
NA 	NA 	13.900	0.026
NA 	NA 	13.780	0.023
NA 	NA 	13.530	0.020
