WT	ML	LRL	Species
0.450	17.200	0.475	Ctenopteryx_sicula
0.660	20.400	0.550	Ctenopteryx_sicula
2.510	33.700	0.650	Ctenopteryx_sicula
1.040	26.600	0.550	Ctenopteryx_sicula
0.560	19.400	0.525	Ctenopteryx_sicula
0.430	18.400	0.425	Ctenopteryx_sicula
0.080	9.400	0.150	Ctenopteryx_sicula
0.360	17.200	0.450	Ctenopteryx_sicula
0.320	17.400	0.425	Ctenopteryx_sicula
0.400	16.400	0.475	Ctenopteryx_sicula
0.610	22.000	0.525	Ctenopteryx_sicula
3.100	39.000	0.925	Ctenopteryx_sicula
1.670	33.200	0.700	Ctenopteryx_sicula
2.270	40.800	0.775	Ctenopteryx_sicula
1.390	52.500	0.650	Ctenopteryx_sicula
0.550	32.800	0.475	Ctenopteryx_sicula
0.930	43.200	0.575	Ctenopteryx_sicula
1.110	44.300	0.600	Ctenopteryx_sicula
2.980	67.300	0.750	Ctenopteryx_sicula
1.390	49.300	0.700	Ctenopteryx_sicula
52.000	95.000	2.200	Ctenopteryx_sicula
59.000	95.000	2.200	Ctenopteryx_sicula
31.000	75.000	1.900	Ctenopteryx_sicula
30.000	53.000	1.600	Ctenopteryx_sicula
15.000	60.000	1.500	Ctenopteryx_sicula
NA	69.000	1.300	Ctenopteryx_sicula
16.000	60.000	1.200	Ctenopteryx_sicula
13.000	60.000	1.200	Ctenopteryx_sicula
8.000	44.000	0.800	Ctenopteryx_sicula
48.700	83.000	2.400	Ctenopteryx_sicula
17.900	62.000	1.300	Ctenopteryx_sicula
16.300	61.000	1.100	Ctenopteryx_sicula
21.500	65.000	1.500	Ctenopteryx_sicula
4.500	36.000	1.700	Ctenopteryx_sicula
2.200	28.000	0.600	Ctenopteryx_sicula
2.600	36.000	0.600	Ctenopteryx_sicula
2.400	39.000	0.800	Ctenopteryx_sicula
0.700	23.000	0.500	Ctenopteryx_sicula
0.800	23.000	0.500	Ctenopteryx_sicula
1.100	27.000	0.500	Ctenopteryx_sicula
0.700	20.000	0.400	Ctenopteryx_sicula
6.700	42.000	0.800	Ctenopteryx_sicula
11.400	48.000	1.400	Ctenopteryx_sicula
2.800	33.000	0.700	Ctenopteryx_sicula
4.800	39.000	0.800	Ctenopteryx_sicula
4.700	38.000	0.800	Ctenopteryx_sicula
4.200	36.000	0.700	Ctenopteryx_sicula
4.100	35.000	0.700	Ctenopteryx_sicula
3.600	33.000	0.600	Ctenopteryx_sicula
2.500	29.000	0.500	Ctenopteryx_sicula
2.100	28.000	0.500	Ctenopteryx_sicula
2.300	27.000	0.500	Ctenopteryx_sicula
1.700	25.000	0.400	Ctenopteryx_sicula
1.500	24.000	0.400	Ctenopteryx_sicula
NA	36.000	0.700	Ctenopteryx_sicula
NA	55.000	1.000	Ctenopteryx_sicula
NA	58.000	1.200	Ctenopteryx_sicula
NA	31.000	0.680	Ctenopteryx_sicula
NA	54.000	1.000	Ctenopteryx_sicula
NA	49.000	1.000	Ctenopteryx_sicula
NA	27.000	0.690	Ctenopteryx_sicula
NA	44.000	0.940	Ctenopteryx_sicula
NA	66.000	1.780	Ctenopteryx_sicula
NA	51.000	1.060	Ctenopteryx_sicula
NA	41.500	1.060	Ctenopteryx_sicula
8.170	23.300	1.550	Histioteuthis_spp
6.950	21.400	1.425	Histioteuthis_spp
3.510	19.000	1.075	Histioteuthis_spp
2.190	15.200	0.975	Histioteuthis_spp
1.830	15.700	0.875	Histioteuthis_spp
1.070	13.700	0.725	Histioteuthis_spp
0.610	11.900	0.525	Histioteuthis_spp
0.960	13.200	0.600	Histioteuthis_spp
0.630	11.100	0.500	Histioteuthis_spp
0.320	9.800	0.475	Histioteuthis_spp
0.550	9.400	0.525	Histioteuthis_spp
0.080	6.600	0.275	Histioteuthis_spp
4.100	21.600	1.375	Histioteuthis_spp
5.890	24.900	1.550	Histioteuthis_spp
0.350	9.300	0.600	Histioteuthis_spp
3.450	22.500	1.300	Histioteuthis_spp
2.270	19.300	1.250	Histioteuthis_spp
2.340	19.500	1.200	Histioteuthis_spp
0.680	12.500	0.900	Histioteuthis_spp
0.550	11.000	0.550	Histioteuthis_spp
1.800	17.900	1.000	Histioteuthis_spp
0.120	8.400	0.400	Histioteuthis_spp
0.690	13.700	0.750	Histioteuthis_spp
2.690	20.300	1.300	Histioteuthis_spp
1.080	17.000	0.900	Histioteuthis_spp
0.410	12.000	0.600	Histioteuthis_spp
0.180	5.800	0.450	Histioteuthis_spp
1.690	18.800	1.000	Histioteuthis_spp
0.600	13.700	0.775	Histioteuthis_spp
1.800	17.800	1.025	Histioteuthis_spp
0.360	9.000	0.625	Histioteuthis_spp
1.390	17.300	0.950	Histioteuthis_spp
0.470	12.500	0.625	Histioteuthis_spp
0.090	8.400	0.425	Histioteuthis_spp
0.150	10.000	0.350	Histioteuthis_spp
0.070	6.300	0.350	Histioteuthis_spp
64.000	71.000	3.300	Histioteuthis_spp
NA	37.000	1.600	Histioteuthis_spp
134.000	64.000	4.500	Histioteuthis_spp
44.000	42.000	2.300	Histioteuthis_spp
3.4	20.000	1.100	Histioteuthis_spp
2	18.000	0.850	Histioteuthis_spp
2.3	15.000	0.750	Histioteuthis_spp
120	65.000	4.900	Histioteuthis_spp
128	65.000	4.800	Histioteuthis_spp
130	65.000	4.800	Histioteuthis_spp
215	75.000	5.000	Histioteuthis_spp
