cruise	period	pera	perb	perc	CT	O_Matter	mud	silt	clay	Semelidae	Cardiidae	Solecurtidae	Bivalvia	Cuspidariidae	Corbulidae	Lucinidae	Donacidae	Pharidae	Galeommatidae	Veneridae	Hiatellidae	Leptonidae	Mactridae	Mytilidae	Montacutidae	Petricolidae	Nuculidae	Nuculanidae	Pandoridae	Psammobidae	Lasaeidae	Tellinidae	Thracidae	Thyasiridae	Actaeonide	Aporrhaidae	Turridae	Cylichnidae	Epitoniidae	Gastropoda	Hydrobiidae	Eumidae	Naticidae	Opistobranchia	Turritellidae	Dentaliidae	Prochaetodermatidae	Ampeliscidae	Aoridae	Isaeidae	Caprellidae	Corophiidae	Eusiridae	Phoxocephalidae	Lysianassidae	Leucothoidae	Gammaridae	Oedicerotidae	Gammaridae	Bodotriidae	Nannastacidae	Diastylidae	Leuconidae	Alpheidae	Paguridae	Callianassidae	Decapoda_indStadiolarvale	Diogenidae	Majidae	Leucosiidae	Galatheidae	Goneplacidae	Laomediidae	Portunidae	Pinnotheridae	Processidae	Penaeidae	Upogebiidae	Squillidae	Cirolanidae	Isopoda_ind	Gnathiidae	Janiridae	Apseudidae	Paratanaidae	Ostracoda_ind	Amphiudidae	Asterinidae	Brissidae	Holothurioidea_ind	Synaptidae	Ophiothricidae	Ophiuroidea_ind	Schizasteridae	Spatangidae_ind	Cucumariidae	Chiridotidae	Aspidosiphonidae	Golfingidae	Phascolionidae	Sipuncula_ind	Sipunculidae	Nemertino_ind	Anthozoa	Virgulariidae	Ammotheidae	Platyhelminthes_ind	Paraonidae	Ampharetidae	Spionidae	Cirratulidae	Aphroditidae	Onuphidae	Opheliidae	Flabelligeridae	Sabellidae	Cossuridae	Arabellidae	Phyllodocidae	Maldanidae	Eunicidae	Glyceridae	Goniadidae	Polynoidae	Serpulidae	Hesionidae	Terebellidae	Lumbrineridae	Magelonidae	Nereidae	Nephtydae	Capitellidae	Oweniidae	Pectinaridae	Pilargiidae	Poecilochaetidae	Scalibregmatidae	Pilargidae	Sternaspidae	Sigalionidae	Syllidae	Orbinidae	Priapulidae	Picnogonidae	Caprellidae	Caudofoveata	Phascolosomatidae	Ptychoderidae
M1C1	1	1	0	0	0	1.16	35.27	25.10	10.16	4	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	4	0	13	3	0	0	1	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	7	1	6	0	3	0	0	0	0	0	32	6	32	29	0	90	1	0	11	0	0	20	10	5	8	8	6	0	1	3	19	1	0	18	30	0	1	0	4	0	2	5	0	0	0	0	0	0	0	0	0
M1C2	1	1	0	0	0	1.38	34.46	21.94	12.52	5	3	0	0	0	2	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	1	0	0	0	1	1	0	2	1	0	0	0	0	0	0	16	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	1	6	0	0	1	1	0	0	0	43	2	59	52	0	48	0	0	4	0	0	24	10	5	8	7	4	1	2	7	12	0	1	31	52	0	1	0	5	0	0	7	0	0	0	0	0	0	0	0	0
M1C3	1	1	0	0	0	1.84	38.39	23.46	14.94	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	2	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	2	0	6	1	1	0	0	0	0	0	0	0	2	0	11	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	21	1	28	68	0	44	0	0	1	0	0	19	5	1	5	3	5	0	0	3	6	0	6	24	24	0	1	0	1	0	0	13	0	0	0	0	0	0	0	0	0
M1C5	1	1	0	0	0	1.62	30.71	17.72	12.99	15	4	1	2	0	4	1	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	22	1	4	0	1	0	0	0	2	0	21	4	36	43	0	70	0	0	3	0	0	26	3	3	10	5	5	1	2	2	20	1	6	21	27	0	2	0	2	0	1	14	0	0	0	0	0	0	0	0	0
M1C7	1	1	0	0	0	1.62	32.59	23.31	9.27	10	0	0	1	0	1	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	36	4	0	0	0	1	0	1	1	5	0	0	1	0	0	0	0	1	0	15	0	0	0	2	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	3	0	0	1	0	0	4	0	0	0	0	21	1	6	0	0	0	0	0	0	0	48	5	58	41	0	98	1	0	5	0	0	20	4	2	14	15	6	0	3	2	27	1	1	15	56	0	0	0	3	0	1	9	0	1	0	0	0	0	0	0	0
M1T1	1	1	0	0	1	2.13	43.39	29.20	14.19	3	0	1	0	0	1	0	0	0	0	2	0	0	0	0	1	0	2	4	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	11	22	0	14	0	0	0	0	0	7	5	2	1	0	1	0	2	3	8	1	2	13	50	0	1	0	4	0	2	15	0	0	0	0	0	0	0	0	0
M1T3	1	1	0	0	1	1.78	39.42	26.53	12.90	3	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	3	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	6	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	14	1	0	0	0	0	0	0	0	0	3	0	17	11	0	65	0	0	0	0	0	10	6	6	7	0	1	0	0	2	9	0	2	23	20	0	1	0	3	0	0	8	0	0	0	0	0	0	0	0	0
M1T5	1	1	0	0	1	1.87	43.29	22.98	20.31	2	0	1	0	0	1	1	4	0	0	6	0	0	0	0	0	0	4	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	3	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	0	9	7	0	21	0	0	3	0	0	6	2	4	6	0	4	0	1	3	7	2	0	16	57	0	0	0	5	0	0	11	1	0	0	0	0	0	0	0	0
M1T6	1	1	0	0	1	1.56	41.31	22.20	19.11	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	12	5	0	27	0	0	0	0	0	4	2	1	2	0	4	1	0	1	9	1	0	6	25	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0
M1T9	1	1	0	0	1	1.15	37.95	26.36	11.59	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	3	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	2	0	0	2	0	0	0	0	0	0	1	1	4	0	13	0	0	0	0	0	7	2	1	2	0	4	0	0	2	7	0	1	7	25	0	0	0	4	0	0	5	0	1	0	0	0	0	0	0	0
