Nr	Amino_FZ	Propofol	Ethanol	Series	Larval_stage	Length	Rep
1	without	without	without	1	L1	2.2	1
2	without	without	without	1	L1	2.4	1
3	without	without	without	1	L1	2.6	1
4	without	without	without	1	L1	2.7	1
5	without	without	without	1	L1	2.9	1
6	without	without	without	1	L1	3.0	1
7	with	without	without	1	L1	3.1	2
8	with	without	without	1	L1	3.2	2
9	with	without	without	1	L1	3.0	2
10	with	without	without	1	L1	3.2	2
11	with	without	without	1	L1	3.2	2
12	with	without	without	1	L1	3.3	2
13	without	with	without	1	L1	2.9	3
14	without	with	without	1	L1	2.8	3
15	without	with	without	1	L1	2.6	3
16	without	with	without	1	L1	2.3	3
17	without	with	without	1	L1	2.3	3
18	without	with	without	1	L1	2.9	3
19	without	without	with	1	L1	2.9	4
20	without	without	with	1	L1	2.8	4
21	without	without	with	1	L1	2.7	4
22	without	without	with	1	L1	2.6	4
23	without	without	with	1	L1	2.6	4
24	without	without	with	1	L1	3.0	4
25	with	with	without	1	L1	2.8	5
26	with	with	without	1	L1	2.5	5
27	with	with	without	1	L1	3.0	5
28	with	with	without	1	L1	2.6	5
29	with	with	without	1	L1	3.1	5
30	with	with	without	1	L1	3.3	5
31	with	without	with	1	L1	2.8	6
32	with	without	with	1	L1	2.4	6
33	with	without	with	1	L1	2.9	6
34	with	without	with	1	L1	3.0	6
35	with	without	with	1	L1	3.0	6
36	with	without	with	1	L1	2.9	6
37	without	with	with	1	L1	3.0	7
38	without	with	with	1	L1	2.8	7
39	without	with	with	1	L1	2.2	7
40	without	with	with	1	L1	2.3	7
41	without	with	with	1	L1	2.5	7
42	without	with	with	1	L1	1.4	7
43	with	with	with	1	L1	1.9	8
44	with	with	with	1	L1	2.3	8
45	with	with	with	1	L1	2.0	8
46	with	with	with	1	L1	2.2	8
47	with	with	with	1	L1	2.5	8
48	with	with	with	1	L1	3.1	8		
1	without	without	without	2	L2	3.6	1		
2	without	without	without	2	L2	4.0	1		
3	without	without	without	2	L2	4.3	1		
