year	partridges	rabbits	RbyP_index
1973	3664673	5441436	1.484835345
1974	3657396	5555737	1.51904169
1975	3599711	5592660	1.55364139
1976	3414098	5910211	1.731119318
1977	3700026	6478012	1.750801751
1978	3723289	6991964	1.877899889
1979	3173317	7438108	2.343953661
1980	3547186	7135383	2.011561559
1981	2460888	6201792	2.520143948
1982	3190264	8248339	2.585472237
1983	3687433	7425574	2.013751572
1984	4105637	9888463	2.408508838
1985	4349652	10130639	2.329068854
1986	4223345	10272755	2.432374102
1987	4061697	9671782	2.381217013
1988	3799768	9950903	2.61881857
1989	3436577	7640775	2.223367904
1990	3176869	6604986	2.079086673
1991	2342865	5540941	2.365027861
1992	3058415	3572084	1.167952681
1993	2423364	3534187	1.458380582
1994	2072286	3714828	1.792623219
1995	2265557	4573237	2.018592779
1996	2815542	4276128	1.518758378
1997	3039436	3783823	1.244909582
1998	3313153	5013372	1.513172498
1999	3286952	4237264	1.289116482
