time	period	CT	effort	o_matter	mud	silt	clay	turbidity	temperature	Abundance	TaxonID
1	1	0	0	1.16	35.27	25.10	10.16	5.71	10.50	11	1
1	1	0	0	1.38	34.46	21.94	12.52	9.55	10.60	18	1
1	1	0	0	1.84	38.39	23.46	14.94	8.01	10.59	15	1
1	1	0	0	1.62	30.71	17.72	12.99	8.01	10.65	39	1
1	1	0	0	1.62	32.59	23.31	9.27	8.78	10.65	24	1
1	1	1	1.71	2.13	43.39	29.20	14.19	9.55	10.79	19	1
1	1	1	1.71	1.78	39.42	26.53	12.90	9.55	10.75	17	1
1	1	1	1.71	1.87	43.29	22.98	20.31	7.25	10.77	27	1
1	1	1	1.71	1.56	41.31	22.20	19.11	8.01	10.79	5	1
1	1	1	1.71	1.15	37.95	26.36	11.59	8.01	10.78	18	1
2	1	0	0	1.07	31.47	19.11	12.36	8.01	11.66	18	1
2	1	0	0	1.62	33.71	18.01	15.70	7.25	11.62	15	1
2	1	0	0	1.55	28.85	18.74	10.11	7.25	11.60	16	1
2	1	0	0	1.45	28.89	15.27	13.62	8.01	11.58	15	1
2	1	0	0	1.41	34.20	19.53	14.67	8.01	11.60	17	1
2	1	1	1.1	1.13	43.91	22.95	20.95	11.86	11.46	7	1
2	1	1	1.1	1.54	38.68	23.09	15.60	10.32	11.42	17	1
2	1	1	1.1	1.42	50.13	23.79	26.33	8.78	11.41	9	1
2	1	1	1.1	1.66	31.78	16.13	15.66	11.09	11.43	19	1
2	1	1	1.1	1.62	44.46	22.22	22.23	10.32	11.42	7	1
3	2	0	0	1.04	32.07	19.56	12.51	9.55	12.68	51	1
3	2	0	0	1.38	36.06	21.99	14.06	8.78	12.70	42	1
3	2	0	0	1.65	31.49	20.07	11.42	8.78	12.74	56	1
3	2	0	0	1.38	28.57	17.80	10.77	9.55	12.70	39	1
3	2	0	0	1.40	35.17	18.91	16.26	8.78	12.70	54	1
3	2	1	0.2	1.21	35.94	21.45	14.49	1.87	12.91	30	1
3	2	1	0.2	1.39	33.40	19.93	13.47	0.33	12.86	39	1
3	2	1	0.2	2.01	33.20	20.33	12.87	0.33	12.89	58	1
3	2	1	0.2	1.59	38.36	23.68	14.68	0.33	12.87	32	1
3	2	1	0.2	1.59	36.29	21.95	14.34	0.33	12.91	36	1
4	2	0	0	1.14	35.67	22.25	13.42	NA	NA	70	1
4	2	0	0	1.41	30.88	19.30	11.58	NA	NA	39	1
4	2	0	0	1.21	42.71	30.81	11.90	NA	NA	69	1
4	2	0	0	1.72	30.80	18.57	12.24	NA	NA	63	1
4	2	0	0	1.47	37.94	17.71	20.23	NA	NA	60	1
4	2	1	0	1.76	37.51	23.47	14.04	NA	NA	75	1
4	2	1	0	1.50	40.39	19.35	21.04	NA	NA	70	1
4	2	1	0	1.37	37.10	21.97	15.13	NA	NA	51	1
4	2	1	0	1.37	37.25	22.13	15.12	NA	NA	56	1
4	2	1	0	1.56	48.40	24.98	23.42	NA	NA	52	1
5	2	0	0	1.14	27.44	15.94	11.50	2.636084217	14.05	34	1
5	2	0	0	1.41	32.80	19.51	13.29	2.636084217	14.04	84	1
5	2	0	0	1.21	37.05	20.21	16.83	2.636084217	14.06	33	1
5	2	0	0	1.72	34.35	20.54	13.81	2.636084217	14.08	56	1
5	2	0	0	1.45	32.11	19.15	12.95	2.636084217	14.05	35	1
5	2	1	0	1.76	35.24	19.57	15.67	3.404487475	14.15	34	1
5	2	1	0	1.50	49.29	24.39	24.90	0.330874443	14.13	30	1
5	2	1	0	1.37	36.92	19.18	17.74	1.099277701	14.14	67	1
5	2	1	0	1.37	41.37	21.04	20.33	0.330874443	14.15	9	1
5	2	1	0	1.56	39.73	20.68	19.06	2.636084217	14.06	23	1
6	3	0	0	1.25	33.67	20.51	13.16	0	15.45	51	1
6	3	0	0	1.50	36.39	19.22	17.17	0.330874443	14.99	47	1
6	3	0	0	1.44	31.05	18.37	12.69	0.330874443	15.19	23	1
6	3	0	0	1.71	32.69	19.92	12.77	1.099277701	15.86	39	1
6	3	0	0	1.45	35.70	18.02	17.68	0	14.95	33	1
6	3	1	0.82	1.55	33.76	16.94	16.82	0.330874443	15.92	31	1
6	3	1	0.82	1.08	36.30	19.16	17.14	0.330874443	15.61	59	1
6	3	1	0.82	1.62	40.77	22.17	18.61	0.330874443	15.84	26	1
6	3	1	0.82	1.50	37.57	19.33	18.24	0.330874443	15.92	38	1
6	3	1	0.82	1.51	43.09	22.67	20.41	0.330874443	16.08	48	1
7	3	0	0	1.16	36.00	21.09	14.91	NA	14.50	47	1
7	3	0	0	1.24	38.46	21.34	17.12	NA	14.41	41	1
7	3	0	0	1.67	36.70	21.50	15.20	NA	14.63	25	1
7	3	0	0	1.48	33.00	18.79	14.20	NA	14.89	69	1
7	3	0	0	1.63	37.19	17.71	19.48	NA	13.68	36	1
7	3	1	1.02	1.69	40.23	20.66	19.57	NA	14.40	22	1
7	3	1	1.02	1.38	38.59	20.66	17.92	NA	14.60	48	1
7	3	1	1.02	1.69	29.62	15.04	14.58	NA	13.86	46	1
7	3	1	1.02	1.35	34.18	18.54	15.63	NA	14.03	44	1
7	3	1	1.02	1.32	35.72	18.13	17.59	NA	14.69	24	1
8	3	0	0	1.46	36.86	22.22	14.64	3.40	11.01	33	1
8	3	0	0	1.65	35.84	23.53	12.31	3.40	11.00	29	1
8	3	0	0	1.67	36.55	24.89	11.67	3.40	11.00	61	1
8	3	0	0	1.31	35.92	17.18	18.74	3.40	11.00	34	1
8	3	0	0	1.26	35.64	23.86	11.79	3.40	10.99	23	1
8	3	1	1.81	1.13	39.91	25.23	14.68	4.17	10.97	10	1
8	3	1	1.81	0.89	39.96	23.88	16.08	4.17	10.99	48	1
8	3	1	1.81	1.22	39.81	25.03	14.79	4.94	10.99	24	1
8	3	1	1.81	1.43	39.78	24.52	15.27	4.17	10.98	85	1
8	3	1	1.81	1.61	39.83	24.68	15.14	4.17	10.99	35	1
1	1	0	0	1.16	35.27	25.10	10.16	5.71	10.50	38	2
1	1	0	0	1.38	34.46	21.94	12.52	9.55	10.60	28	2
1	1	0	0	1.84	38.39	23.46	14.94	8.01	10.59	34	2
1	1	0	0	1.62	30.71	17.72	12.99	8.01	10.65	22	2
1	1	0	0	1.62	32.59	23.31	9.27	8.78	10.65	36	2
1	1	1	1.71	2.13	43.39	29.20	14.19	9.55	10.79	7	2
1	1	1	1.71	1.78	39.42	26.53	12.90	9.55	10.75	16	2
1	1	1	1.71	1.87	43.29	22.98	20.31	7.25	10.77	11	2
1	1	1	1.71	1.56	41.31	22.20	19.11	8.01	10.79	6	2
1	1	1	1.71	1.15	37.95	26.36	11.59	8.01	10.78	8	2
2	1	0	0	1.07	31.47	19.11	12.36	8.01	11.66	11	2
2	1	0	0	1.62	33.71	18.01	15.70	7.25	11.62	4	2
2	1	0	0	1.55	28.85	18.74	10.11	7.25	11.60	10	2
2	1	0	0	1.45	28.89	15.27	13.62	8.01	11.58	9	2
2	1	0	0	1.41	34.20	19.53	14.67	8.01	11.60	3	2
2	1	1	1.1	1.13	43.91	22.95	20.95	11.86	11.46	5	2
2	1	1	1.1	1.54	38.68	23.09	15.60	10.32	11.42	3	2
2	1	1	1.1	1.42	50.13	23.79	26.33	8.78	11.41	4	2
2	1	1	1.1	1.66	31.78	16.13	15.66	11.09	11.43	9	2
2	1	1	1.1	1.62	44.46	22.22	22.23	10.32	11.42	3	2
3	2	0	0	1.04	32.07	19.56	12.51	9.55	12.68	28	2
3	2	0	0	1.38	36.06	21.99	14.06	8.78	12.70	39	2
