S_plot	GVC	HLC	SLC	NLC	LC	FWDC	CWDC	LLC	MLD	OM	X	Y	Hlog10
1	0.01	0.27	0.64	0.00	0.00	0.00	0	0.00	0.00	0.18	120123	183465	1.05
1	0.01	0.45	0.39	0.00	0.00	0.00	0	0.00	0.00	0.24	120051	183558	1.13
1	0.01	0.63	0.17	0.00	0.00	0.00	0	0.00	0.00	0.27	120006	183512	1
1	0.01	0.49	0.36	0.00	0.00	0.00	0	0.00	0.00	0.17	119927	183563	0.87
1	0.03	0.32	0.63	0.00	0.00	0.00	0	0.00	0.00	0.38	119855	183559	0.94
1	0.27	0.73	0.08	0.00	0.00	0.00	0	0.00	0.00	0.90	119788	183546	1.01
1	0.15	0.68	0.32	0.00	0.00	0.00	0	0.00	0.00	0.91	119742	183501	1.2
2	0.15	0.20	0.38	0.00	0.63	0.06	0.21	0.63	0.00	0.34	146232	102777	0.38
2	0.59	0.39	0.03	0.00	0.06	0.20	0.18	0.06	0.00	0.17	146188	102818	0.71
2	0.35	0.38	0.38	0.00	0.49	0.10	0.05	0.49	0.00	0.23	146158	102891	0.82
2	0.36	0.29	0.00	0.00	0.44	0.20	0.27	0.44	0.00	0.16	146176	102963	0.78
2	0.30	0.22	0.00	0.00	0.44	0.20	0.45	0.44	0.00	0.23	146174	103023	0.61
3	0.32	0.57	0.00	0.01	0.29	0.39	0.1	0.29	0.01	0.28	313967	154284	0.88
3	0.48	0.44	0.38	0.00	0.29	0.13	0.03	0.29	0.01	0.18	313953	154295	0.85
3	0.23	0.18	0.00	0.00	0.68	0.16	0.05	0.68	0.01	0.22	314001	154330	0.65
4	0.13	0.00	0.03	0.73	0.03	0.03	0.02	0.03	0.20	0.85	181091	156485	0.86
4	0.03	0.00	0.03	0.78	0.00	0.27	0.13	0.00	0.65	0.84	181095	156422	0.95
4	0.39	0.00	0.03	0.59	0.00	0.03	0.11	0.00	0.25	0.92	181071	156349	0.92
4	0.14	0.00	0.03	0.83	0.00	0.08	0.1	0.00	0.40	0.41	181028	156289	0.73
4	0.10	0.00	0.03	0.88	0.00	0.08	0.05	0.00	0.85	0.79	181005	156244	0.9
5	0.56	0.38	0.88	0.57	0.10	0.02	0.02	0.10	0.08	0.75	118530	83132	1.01
5	0.24	0.00	0.88	0.78	0.00	0.03	0.02	0.00	0.10	0.83	NA	NA	1.02
5	0.63	0.41	0.68	0.25	0.00	0.00	0	0.00	0.10	0.94	118439	83191	0.98
5	0.49	0.37	0.73	0.28	0.00	0.00	0.02	0.00	0.08	0.96	118402	83207	1.05
5	0.54	0.32	0.83	0.69	0.01	0.03	0.02	0.01	0.05	0.86	118394	83283	1.18
6	0.01	0.00	0.88	0.88	0.01	0.01	0.01	0.01	0.20	0.16	190119	153985	0.85
6	0.00	0.00	0.88	0.88	0.00	0.01	0.01	0.00	0.20	0.19	190103	154039	0.93
6	0.00	0.00	0.88	0.88	0.00	0.01	0.01	0.00	0.15	0.22	NA	NA	0.89
6	0.00	0.00	0.88	0.88	0.00	0.01	0.01	0.00	0.20	0.21	190043	154135	0.8
6	0.88	0.03	0.88	0.74	0.00	0.01	0.01	0.00	0.20	0.56	190090	154148	0.89
6	0.00	0.88	0.01	0.00	0.05	0.00	0	0.05	0.00	0.11	190201	153792	1.02
6	0.03	0.73	0.02	0.00	0.06	0.00	0	0.06	0.00	0.62	190098	153856	1.07
7	0.02	0.59	0.25	0.00	0.00	0.00	0	0.00	0.00	0.12	172092	165151	1.11
7	0.02	0.69	0.44	0.00	0.00	0.00	0	0.00	0.00	0.07	172155	165146	0.85
7	0.01	0.37	0.54	0.00	0.00	0.00	0	0.00	0.00	0.20	172193	165174	0.63
7	0.03	0.15	0.73	0.00	0.00	0.00	0	0.00	0.00	0.10	172242	165181	0.59
7	0.00	0.59	0.27	0.00	0.00	0.00	0	0.00	0.00	0.16	171916	165149	0.86
7	0.03	0.59	0.64	0.00	0.00	0.00	0	0.00	0.00	0.22	171973	165154	0.88
7	0.02	0.18	0.63	0.00	0.00	0.00	0	0.00	0.00	0.20	172036	165156	1.11
8	0.10	0.22	0.09	0.00	0.02	0.11	0.05	0.02	0.00	0.18	177462	227684	0.82
8	0.06	0.24	0.30	0.00	0.08	0.07	0.02	0.08	0.00	0.15	177536	227718	0.82
8	0.08	0.20	0.03	0.00	0.15	0.12	0.05	0.15	0.00	0.20	177556	227773	1.04
8	0.15	0.15	0.53	0.00	0.13	0.00	0.05	0.13	0.00	0.31	177591	227813	1.08
8	0.06	0.24	0.73	0.00	0.00	0.00	0	0.00	0.00	0.44	177631	227864	0.89
9	0.48	0.00	0.00	0.29	0.00	0.34	0.45	0.00	0.10	0.81	191432	168559	0.92
9	0.10	0.00	0.00	0.88	0.00	0.17	0.4	0.00	0.15	0.71	191540	168610	1.02
9	0.00	0.00	0.00	0.88	0.00	0.11	0.03	0.00	0.25	0.95	191621	168692	1.06
9	0.00	0.00	0.00	0.88	0.00	0.39	0.25	0.00	0.15	0.59	191679	168727	0.87
9	0.00	0.00	0.00	0.88	0.00	0.08	0.01	0.00	0.10	0.56	191679	168843	1.03
10	0.01	0.83	0.20	0.00	0.00	0.00	0	0.00	0.00	0.19	253961	239419	0.93
10	0.01	0.78	0.11	0.00	0.00	0.00	0	0.00	0.00	0.14	253898	239398	1.15
10	0.01	0.68	0.31	0.00	0.00	0.00	0	0.00	0.00	0.14	253851	239381	1.08
10	0.00	0.63	0.39	0.00	0.00	0.00	0	0.00	0.00	0.17	253801	239388	1.03
10	0.03	0.68	0.35	0.00	0.00	0.00	0	0.00	0.00	0.20	253746	239365	1.1
11	0.15	0.00	0.03	0.88	0.00	0.05	0.18	0.00	0.50	0.57	158507	191304	0.96
11	0.02	0.00	0.03	0.78	0.00	0.27	0.27	0.00	0.30	0.19	158422	191315	0.79
11	0.22	0.00	0.03	0.63	0.00	0.25	0.4	0.00	0.25	0.11	158372	191389	0.86
11	0.02	0.00	0.06	0.88	0.00	0.11	0.11	0.00	0.70	0.44	158320	191455	0.92
11	0.37	0.00	0.03	0.44	0.00	0.27	0.28	0.00	0.40	0.93	158434	191413	0.96
12	0.03	0.54	0.41	0.00	0.03	0.00	0	0.03	0.00	0.33	NA	NA	0.62
12	0.22	0.58	0.25	0.00	0.22	0.19	0.02	0.22	0.00	0.19	NA	NA	0.85
12	0.15	0.44	0.88	0.63	0.00	0.00	0	0.00	0.00	0.75	114241	81856	1.16
12	0.34	0.63	0.78	0.13	0.00	0.00	0	0.00	0.03	0.82	114221	81796	1.22
12	0.18	0.61	0.78	0.27	0.00	0.03	0	0.00	0.03	0.90	114197	81750	1.18
12	0.30	0.02	0.88	0.74	0.06	0.06	0.02	0.06	0.05	0.51	114146	81729	1.16
12	0.34	0.78	0.48	0.03	0.00	0.00	0	0.00	0.00	0.94	114245	81929	1.18
13	0.88	0.12	0.16	0.88	0.00	0.00	0.05	0.00	0.00	0.56	283113	232241	0.57
13	0.83	0.01	0.00	0.03	0.03	0.00	0.05	0.03	0.00	0.12	283152	232286	1.03
13	0.36	0.69	0.38	0.03	0.01	0.00	0.2	0.01	0.00	0.11	283210	232357	1.19
13	0.22	0.03	0.00	0.00	0.76	0.02	0.2	0.76	0.00	0.07	283262	232319	0.82
13	0.73	0.03	0.00	0.01	0.36	0.15	0.06	0.36	0.00	0.11	283314	232273	1
14	0.25	0.00	0.00	0.83	0.00	0.08	0.06	0.00	0.25	0.77	162320	201123	0.88
14	0.34	0.00	0.00	0.83	0.00	0.06	0.05	0.00	0.15	0.95	162324	201030	0.91
14	0.02	0.00	0.00	0.73	0.00	0.32	0.15	0.00	0.40	0.95	NA	NA	0.99
14	0.43	0.00	0.00	0.83	0.00	0.03	0.03	0.00	1.00	0.94	NA	NA	0.88
14	0.49	0.00	0.00	0.69	0.00	0.20	0.02	0.00	0.20	0.96	162159	201105	0.99
15	0.56	0.20	0.88	0.25	0.02	0.00	0.01	0.02	0.03	0.17	153575	191577	1.04
15	0.25	0.69	0.88	0.10	0.02	0.00	0.01	0.02	0.03	0.18	NA	NA	1.15
15	0.42	0.20	0.88	0.18	0.33	0.00	0.01	0.33	0.03	0.14	NA	NA	1.06
15	0.22	0.20	0.88	0.53	0.36	0.00	0.01	0.36	0.05	0.16	153441	191578	0.82
15	0.18	0.57	0.88	0.42	0.10	0.00	0.01	0.10	0.05	0.37	153528	191601	0.94
15	0.16	0.54	0.58	0.00	0.16	0.00	0.01	0.16	0.00	0.21	153665	191699	1.38
15	0.63	0.64	0.51	0.00	0.16	0.00	0.01	0.16	0.00	0.23	153604	191652	1.23
16	0.18	0.00	0.00	0.88	0.00	0.08	0.06	0.00	0.10	0.98	114408	73445	0.97
16	0.24	0.00	0.00	0.83	0.00	0.06	0.06	0.00	0.10	0.93	114452	73323	1.04
16	0.00	0.00	0.00	0.88	0.00	0.27	0.2	0.00	0.10	0.93	114488	73235	1.01
16	0.31	0.10	0.00	0.73	0.00	0.08	0.22	0.00	0.25	0.91	114534	73223	0.84
16	0.06	0.00	0.00	0.88	0.00	0.25	0.4	0.00	0.40	0.95	114631	73233	0.91
