N	Area	LT	Weight	Sex	LS	Trifur
107	1	31.5	380	1	27.5	0
108	1	34.5	470	2	30	0
109	1	39	696	2	34	0
111	1	28.5	248	2	24.5	0
112	1	36	500	2	31.5	0
113	1	34.5	508	2	30	0
114	1	34	478	2	29.5	0
115	1	32.5	400	1	28.5	0
116	1	31.5	468	2	27.5	0
117	1	33	478	1	29	0
118	1	30	298	1	26	0
119	1	31	364	1	27.35	0
120	1	33.5	410	1	29.5	0
121	1	37	642	2	32.5	0
122	1	32.5	420	1	29	0
123	1	31.5	376	1	28	0
124	1	31	394	1	27.5	0
125	1	31.5	372	1	27.5	0
126	1	30.5	378	1	27	0
127	1	31.5	416	1	28	0
128	1	30	356	2	27	0
129	1	30	334	1	26.5	1
130	1	34	494	2	30	0
131	1	38	804	2	34	0
132	1	36	558	2	31.5	0
133	1	35.5	490	2	31	0
134	1	34	496	2	29.5	0
135	1	39	738	2	34	0
136	1	32.5	428	2	28.5	0
137	1	37.5	624	2	33	0
138	1	32	412	2	28.5	0
139	1	36	544	2	32	0
140	1	34.5	580	2	30.5	0
141	1	37	654	2	33	0
142	1	33.5	412	2	29.5	0
143	1	33.5	472	1	29.5	0
144	1	29	312	2	25.5	0
145	1	26	224	2	23	0
146	1	35	614	2	31	0
147	1	28	240	2	24	0
148	1	28	268	2	24	0
149	1	31	366	2	27	0
150	1	29	310	1	25	0
151	1	40	714	2	35.5	1
152	1	34	448	2	30	0
153	1	37.5	596	2	33	0
154	1	34	492	2	30	0
155	1	34.5	500	2	30.5	0
156	1	35	490	2	30.5	0
157	1	35.5	546	2	31.5	0
158	1	33.5	462	2	29.5	0
159	1	33	392	2	29	0
160	1	31.5	426	1	29	0
1	2	33	426	1	29	1
2	2	39	674	2	34	1
3	2	33.5	456	2	29	1
4	2	29.5	316	1	26	0
5	2	35	528	2	31	0
6	2	33	670	2	29	1
7	2	32	354	2	27	0
8	2	24	160	1	21	0
9	2	35	504	2	31	0
10	2	29.5	324	2	26	0
11	2	30	328	1	26	1
12	2	35	524	2	31	1
13	2	30.6	364	2	26.6	0
14	2	32.4	434	2	28.3	0
15	2	34.9	584	2	30.2	0
16	2	28.5	278	2	25	0
17	2	27	242	1	23.5	0
18	2	33	446	2	29.5	1
19	2	36	504	1	32	1
20	2	36	496	2	31.5	1
21	2	32	394	1	28	1
22	2	33.5	426	2	29.5	0
23	2	38.5	636	2	34	1
24	2	38.5	684	2	33.5	1
25	2	37	658	2	32.5	1
26	2	27.5	250	1	24	0
27	2	37	586	2	32	1
28	2	30.4	346	1	26.4	1
29	2	36.5	534	2	32	1
30	2	34	478	2	29.5	0
31	2	29	328	2	25	1
32	2	31	380	2	27.5	0
33	2	25.3	184	1	22.2	1
34	2	30.8	350	1	27.4	0
35	2	27	244	2	24	0
36	2	33.3	480	2	29.3	0
37	2	34.4	496	2	30	1
38	2	32.9	476	1	29	1
39	2	34	462	1	29.5	1
40	2	34.3	490	2	30	1
41	2	32.7	466	1	29	0
42	2	38	574	1	33.5	1
43	2	34.5	548	2	30	1
44	2	34.8	520	1	30.5	1
45	2	35.5	584	2	31	1
46	2	36	532	2	31.5	0
47	2	34.4	448	2	30.2	1
48	2	33.2	444	2	29.4	0
49	2	30	346	2	26.5	1
50	2	29.3	308	1	25.8	1
51	2	29.7	320	2	26	0
52	2	30	364	1	26.5	1
1	3	35	522	1	31	1
2	3	37.6	650	2	33.4	1
3	3	40	702	2	35.5	1
4	3	40.8	734	2	35.5	1
5	3	36	596	1	32	1
6	3	40	696	2	35	1
7	3	38	510	1	33.5	1
8	3	39.5	674	2	35	1
9	3	32.7	374	2	29	0
10	3	33	388	1	29.5	1
11	3	41	912	2	36.2	1
12	3	36	494	1	31.5	1
13	3	40.5	772	2	35	1
14	3	40	736	2	34.8	1
15	3	38	612	1	34	1
16	3	37	614	1	32.5	1
17	3	37	602	1	33	1
18	3	39	674	1	34.5	1
19	3	33.5	396	1	30	0
20	3	32	376	2	28.5	0
21	3	35	436	1	31	1
22	3	36	538	2	31.5	1
23	3	35.8	578	2	32	1
24	3	38.2	726	2	34	1
25	3	41.5	778	2	36	1
26	3	34.3	442	2	30	0
27	3	37.4	598	1	33.4	1
28	3	37.2	566	1	32.8	1
29	3	36.5	574	2	32.5	1
30	3	32.2	334	1	28.7	1
31	3	35.5	472	2	31	1
32	3	38	660	2	33.5	1
33	3	41	796	2	35.5	0
34	3	39.5	656	2	34.8	1
35	3	41.5	750	2	36	1
36	3	36.8	582	2	32.5	1
37	3	40	744	2	35.2	1
38	3	40.2	716	2	38	1
39	3	38.3	668	1	33.8	0
40	3	35.8	504	1	31.4	1
41	3	39.5	608	1	34.8	1
42	3	40	754	1	35	1
43	3	36	558	1	32	1
44	3	39	662	2	34	0
45	3	35	458	2	31	1
46	3	33	400	2	29	0
47	3	38	642	1	33.5	1
48	3	27	210	1	24	1
49	3	38	624	1	33.5	1
50	3	30.5	296	1	27	1
						
						
