Site	Latitude	Longitude	Ecosystem	Temp	Flux
Ahvensalo	65.47	30.53	Wetland	-2.312853805	-1.714450063
Ahvensalo	65.47	30.53	Wetland	-2.287545069	-1.843174533
Ahvensalo	65.47	30.53	Wetland	-2.114457211	-2.708876674
Ahvensalo	65.47	30.53	Wetland	-2.083787497	-2.295676153
Ahvensalo	65.47	30.53	Wetland	-1.986360757	-2.039397888
Ahvensalo	65.47	30.53	Wetland	-1.902868162	-1.398878789
Ahvensalo	65.47	30.53	Wetland	-1.85697328	-1.045943605
Ahvensalo	65.47	30.53	Wetland	-1.593440437	-0.920537149
BASFSpain	37.74	-4.71	RicePaddy	1.245505766	0.816834169
BASFSpain	37.74	-4.71	RicePaddy	1.27159305	0.509594087
BASFSpain	37.74	-4.71	RicePaddy	1.101923699	0.471453871
BASFSpain	37.74	-4.71	RicePaddy	1.185764757	0.562237821
BASFSpain	37.74	-4.71	RicePaddy	1.010456675	0.619724912
BASFSpain	37.74	-4.71	RicePaddy	1.241589654	0.824070917
BASFSpain	37.74	-4.71	RicePaddy	0.965091973	0.839510877
BASFSpain	37.74	-4.71	RicePaddy	0.899305446	0.809159534
BASFSpain	37.74	-4.71	RicePaddy	1.15995545	1.246718363
BASFSpain	37.74	-4.71	RicePaddy	0.641340781	1.195961581
BASFSpain	37.74	-4.71	RicePaddy	1.072447951	1.087747996
BASFSpain	37.74	-4.71	RicePaddy	0.863268216	0.9872348
BASFSpain	37.74	-4.71	RicePaddy	1.02788684	1.278055076
BASFSpain	37.74	-4.71	RicePaddy	0.895717986	1.335882772
BASFSpain	37.74	-4.71	RicePaddy	1.112045723	1.423386899
BASFSpain	37.74	-4.71	RicePaddy	1.185764757	1.471203963
BASFSpain	37.74	-4.71	RicePaddy	1.287228637	1.707885502
BASFSpain	37.74	-4.71	RicePaddy	1.156808833	1.700329981
BASFSpain	37.74	-4.71	RicePaddy	1.072447951	1.89848383
BASFSpain	37.74	-4.71	RicePaddy	1.359120454	2.229907426
BASFSpain	37.74	-4.71	RicePaddy	1.181967562	2.226925687
BASFSpain	37.74	-4.71	RicePaddy	1.200292015	1.640090417
BASFSpain	37.74	-4.71	RicePaddy	0.939917558	1.293125329
BASFSpain	37.74	-4.71	RicePaddy	1.076529836	1.34087484
BASFSpain	37.74	-4.71	RicePaddy	1.050048251	0.912630747
BASFSpain	37.74	-4.71	RicePaddy	1.05835231	0.628531458
BASFSpain	37.74	-4.71	RicePaddy	0.956483311	-1.046214384
BuckHollowBog	42.27	-84.01	Wetland	-2.542882632	-2.86825919
BuckHollowBog	42.27	-84.01	Wetland	-2.416318793	-2.462799225
BuckHollowBog	42.27	-84.01	Wetland	-2.208447482	-2.462799225
BuckHollowBog	42.27	-84.01	Wetland	-1.639193277	-1.615498425
BuckHollowBog	42.27	-84.01	Wetland	-0.133253843	-0.616971451
BuckHollowBog	42.27	-84.01	Wetland	0.633329954	0.022108282
BuckHollowBog	42.27	-84.01	Wetland	1.439587853	1.690861807
BuckHollowBog	42.27	-84.01	Wetland	0.918958403	1.365843961
BuckHollowBog	42.27	-84.01	Wetland	1.165106939	0.389834381
BuckHollowBog	42.27	-84.01	Wetland	1.270041835	1.336429975
BuckHollowBog	42.27	-84.01	Wetland	0.602751272	0.152163815
BuckHollowBog	42.27	-84.01	Wetland	0.134225878	-0.035050384
BuckHollowBog	42.27	-84.01	Wetland	-0.458938476	-0.22920737
BuckHollowBog	42.27	-84.01	Wetland	-1.304875949	-1.258824363
BuckHollowBog	42.27	-84.01	Wetland	-1.62102907	-1.163513903
BuckHollowBog	42.27	-84.01	Wetland	-2.023312968	-1.769649473
BuckHollowBog	42.27	-84.01	Wetland	-2.225879279	-1.769649473
BuckHollowBog	42.27	-84.01	Wetland	-2.306251151	-2.86825919
BuckHollowBog	42.27	-84.01	Wetland	-2.263780936	-1.951971544
BuckHollowBog	42.27	-84.01	Wetland	-2.098955937	-1.951971544
BuckHollowBog	42.27	-84.01	Wetland	-1.254630985	-0.922352347
BuckHollowBog	42.27	-84.01	Wetland	0.260450897	0.309791426
BuckHollowBog	42.27	-84.01	Wetland	0.907633798	0.960378853
BuckHollowBog	42.27	-84.01	Wetland	0.767415372	0.687086668
BuckHollowBog	42.27	-84.01	Wetland	0.768699339	0.820616407
BuckHollowBog	42.27	-84.01	Wetland	0.376457933	0.37041775
BuckHollowBog	42.27	-84.01	Wetland	-0.024801305	0.152163815
BuckHollowBog	42.27	-84.01	Wetland	-0.814589381	-0.342533631
BuckHollowBog	42.27	-84.01	Wetland	-1.555773244	-1.481966757
BuckHollowBog	42.27	-84.01	Wetland	-1.996927679	-2.175115866
BuckHollowBog	42.27	-84.01	Wetland	-2.24058311	-1.951971544
BuckHollowBog	42.27	-84.01	Wetland	-2.278760701	-1.769649473
BuckHollowBog	42.27	-84.01	Wetland	-1.033670479	-1.481966757
BuckHollowBog	42.27	-84.01	Wetland	0.065895207	0.049509457
BuckHollowBog	42.27	-84.01	Wetland	0.825204489	0.481640837
BuckHollowBog	42.27	-84.01	Wetland	0.967157489	1.250774849
BuckHollowBog	42.27	-84.01	Wetland	0.180375994	0.408884088
BuckHollowBog	42.27	-84.01	Wetland	0.75794353	0.857431449
BuckHollowBog	42.27	-84.01	Wetland	-0.223744142	-0.064901147
BuckHollowBog	42.27	-84.01	Wetland	-0.789468664	-0.516887606
BuckHollowBog	42.27	-84.01	Wetland	-1.253440947	-0.996459386
BuckHollowBog	42.27	-84.01	Wetland	-2.091527303	-1.615498425
ChaiNat	15.04	99.97	RicePaddy	2.37829374	1.942821957
ChaiNat	15.04	99.97	RicePaddy	1.848055416	1.372738585
ChaiNat	15.04	99.97	RicePaddy	1.367942321	1.479222065
ChippeewaNationalForest	47.32	-93.28	Wetland	-1.22763913	-0.930746813
ChippeewaNationalForest	47.32	-93.28	Wetland	-0.907463028	-1.396103588
ChippeewaNationalForest	47.32	-93.28	Wetland	-0.333331214	-0.760960155
ChippeewaNationalForest	47.32	-93.28	Wetland	-0.435359749	-0.615663135
ChippeewaNationalForest	47.32	-93.28	Wetland	0.079386151	0.42916245
ChippeewaNationalForest	47.32	-93.28	Wetland	-0.224151789	-0.006723277
ChippeewaNationalForest	47.32	-93.28	Wetland	0.004823231	0.520233007
ChippeewaNationalForest	47.32	-93.28	Wetland	0.032058682	0.317986932
