ShellLength	Month	FeedingType	FeedingPlot
1.9	Dec	Hammerers	B
2.16	Dec	Hammerers	B
2.17	Dec	Stabbers	B
2.34	Dec	Hammerers	B
2.2	Dec	Stabbers	B
2.2	Dec	Hammerers	B
1.92	Dec	Stabbers	B
2.11	Dec	Stabbers	B
2.17	Dec	Hammerers	B
2.41	Dec	Hammerers	B
3.33	Dec	Hammerers	B
3.1	Dec	Hammerers	B
1.87	Dec	Hammerers	B
2.5	Dec	Hammerers	B
2.19	Dec	Hammerers	B
1.74	Dec	Stabbers	B
2.81	Dec	Hammerers	B
1.85	Dec	Hammerers	B
1.81	Dec	Hammerers	B
2.3	Dec	Hammerers	A
3.6	Dec	Hammerers	A
2.91	Dec	Hammerers	A
2.84	Dec	Stabbers	A
2.84	Dec	Stabbers	A
2.29	Dec	Hammerers	A
2.38	Dec	Hammerers	A
2.07	Dec	Hammerers	A
2.27	Dec	Hammerers	A
2.32	Dec	Hammerers	A
2.36	Dec	Hammerers	A
1.92	Dec	Hammerers	A
1.85	Dec	Hammerers	A
1.76	Dec	Hammerers	A
1.6	Dec	Hammerers	A
2.28	Dec	Hammerers	A
2.22	Dec	Hammerers	A
1.69	Dec	Hammerers	A
1.71	Dec	Hammerers	A
1.85	Dec	Hammerers	C
2.53	Dec	Hammerers	C
2.32	Dec	Hammerers	C
2.14	Dec	Stabbers	C
1.97	Dec	Stabbers	C
2.34	Dec	Hammerers	C
1.9	Dec	Stabbers	C
2.34	Dec	Stabbers	C
2.6	Dec	Hammerers	C
2.19	Dec	Hammerers	C
2.22	Dec	Stabbers	C
2.19	Dec	Hammerers	C
2.01	Dec	Hammerers	C
1.93	Dec	Stabbers	C
2.17	Dec	Stabbers	C
2.11	Dec	Hammerers	C
2.19	Dec	Hammerers	C
2.32	Dec	Stabbers	C
1.8	Dec	Hammerers	C
2.17	Dec	Stabbers	C
2.11	Dec	Stabbers	C
1.75	Dec	Hammerers	C
1.62	Dec	Hammerers	C
1.9	Dec	Stabbers	C
2.19	Dec	Stabbers	C
1.75	Dec	Hammerers	C
1.59	Dec	Hammerers	C
2.31	Dec	Hammerers	C
1.91	Dec	Hammerers	C
1.79	Dec	Hammerers	C
1.69	Dec	Hammerers	C
2.01	Dec	Hammerers	C
1.78	Dec	Hammerers	C
1.74	Dec	Stabbers	C
2.01	Dec	Stabbers	C
1.83	Dec	Hammerers	C
2.31	Dec	Hammerers	C
1.77	Dec	Hammerers	C
2.21	Dec	Hammerers	C
1.94	Dec	Stabbers	C
1.82	Dec	Hammerers	C
2.2	Jan	Hammerers	B
2.6	Jan	Stabbers	B
2.4	Jan	Hammerers	B
2.04	Jan	Hammerers	B
2.3	Jan	Hammerers	B
1.8	Jan	Hammerers	B
2.45	Jan	Hammerers	B
2.13	Jan	Hammerers	B
1.97	Jan	Hammerers	B
2	Jan	Hammerers	B
1.79	Jan	Stabbers	B
1.61	Jan	Hammerers	B
1.51	Jan	Hammerers	B
2.21	Jan	Hammerers	B
2.11	Jan	Hammerers	B
2	Jan	Hammerers	B
1.71	Jan	Hammerers	B
2.25	Jan	Hammerers	B
2.36	Jan	Hammerers	B
1.73	Jan	Hammerers	B
2.64	Jan	Hammerers	B
2.41	Jan	Hammerers	B
1.7	Jan	Hammerers	B
1.65	Jan	Hammerers	B
2.03	Jan	Hammerers	B
2.08	Jan	Hammerers	B
1.74	Jan	Hammerers	B
1.58	Jan	Hammerers	B
1.73	Jan	Stabbers	B
1.61	Jan	Hammerers	B
2.09	Jan	Hammerers	B
2.31	Jan	Hammerers	B
1.81	Jan	Hammerers	B
2.25	Jan	Hammerers	B
2.34	Jan	Hammerers	A
2.12	Jan	Hammerers	A
2.43	Jan	Hammerers	A
2.2	Jan	Hammerers	A
2.58	Jan	Hammerers	A
1.97	Jan	Hammerers	A
2.48	Jan	Hammerers	A
1.8	Jan	Stabbers	A
2.12	Jan	Hammerers	A
2.06	Jan	Hammerers	A
2.4	Jan	Hammerers	A
2.41	Jan	Stabbers	A
1.94	Jan	Hammerers	A
2.06	Jan	Hammerers	A
2.25	Jan	Hammerers	A
1.79	Jan	Hammerers	A
2.07	Jan	Hammerers	A
1.82	Jan	Stabbers	A
2.41	Jan	Hammerers	A
2.44	Jan	Hammerers	A
2.15	Jan	Hammerers	A
2.03	Jan	Hammerers	A
2.5	Jan	Hammerers	A
2	Jan	Hammerers	A
2.4	Jan	Hammerers	A
2.15	Jan	Hammerers	A
1.8	Jan	Hammerers	A
2.12	Jan	Hammerers	A
2.45	Jan	Hammerers	A
2.3	Jan	Hammerers	A
2.22	Jan	Hammerers	A
2.43	Jan	Hammerers	A
2	Jan	Hammerers	A
2.26	Jan	Hammerers	A
2.03	Jan	Hammerers	A
2.3	Jan	Hammerers	A
2.01	Jan	Hammerers	A
2.1	Jan	Hammerers	A
1.61	Jan	Hammerers	A
1.5	Jan	Hammerers	A
2.14	Jan	Hammerers	A
1.87	Jan	Hammerers	A
1.08	Jan	Stabbers	A
1.67	Jan	Hammerers	A
2.01	Jan	Hammerers	A
1.94	Jan	Hammerers	A
2.03	Jan	Hammerers	A
1.67	Jan	Hammerers	C
2.12	Jan	Stabbers	C
2.22	Jan	Hammerers	C
2.06	Jan	Hammerers	C
2.22	Jan	Hammerers	C
2.29	Jan	Hammerers	C
2.06	Jan	Hammerers	C
1.92	Jan	Hammerers	C
2.31	Jan	Hammerers	C
2.17	Jan	Hammerers	C
2.24	Jan	Hammerers	C
1.79	Jan	Hammerers	C
2.06	Jan	Hammerers	C
2.25	Jan	Hammerers	C
2.16	Jan	Hammerers	C
2.18	Jan	Hammerers	C
2.31	Jan	Hammerers	C
2.14	Jan	Hammerers	C
2.13	Jan	Hammerers	C
2.02	Jan	Hammerers	C
2.55	Jan	Hammerers	C
2.29	Jan	Hammerers	C
1.65	Jan	Hammerers	C
1.67	Jan	Hammerers	C
1.37	Jan	Hammerers	C
2.12	Jan	Hammerers	C
2.02	Jan	Stabbers	C
2.17	Jan	Hammerers	C
1.62	Jan	Hammerers	C
1.7	Jan	Hammerers	C
2.2	Jan	Hammerers	C
1.9	Jan	Stabbers	C
2.04	Jan	Hammerers	C
2.18	Jan	Hammerers	C
1.93	Jan	Hammerers	C
1.95	Jan	Hammerers	C
1.71	Jan	Hammerers	C
