Year	Birds	ID	Rainfall	Species	Island
1956	163	1	15.16	1	1
1957	272	1	15.48	1	1
1958	549	1	16.26	1	1
1959	533	1	21.25	1	1
1960	NA	1	10.94	1	1
1961	134	1	19.93	1	1
1962	175	1	12.63	1	1
1963	356	1	20.09	1	1
1964	485	1	10.02	1	1
1965	184	1	30.91	1	1
1966	242	1	12.49	1	1
1967	209	1	32.70	1	1
1968	175	1	18.40	1	1
1969	162	1	25.21	1	1
1970	322	1	18.61	1	1
1971	362	1	20.13	1	1
1972	342	1	15.71	1	1
1973	509	1	10.27	1	1
1974	107	1	18.68	1	1
1975	110	1	13.74	1	1
1976	249	1	12.83	1	1
1977	738	1	11.50	1	1
1978	396	1	19.15	1	1
1979	211	1	26.82	1	1
1980	384	1	27.87	1	1
1981	418	1	12.85	1	1
1982	357	1	34.04	1	1
1983	231	1	13.05	1	1
1984	621	1	8.56	1	1
1985	322	1	20.00	1	1
1986	484	1	18.39	1	1
1987	821	1	24.31	1	1
1988	478	1	26.79	1	1
1989	740	1	40.63	1	1
1990	515	1	35.20	1	1
1991	371	1	16.09	1	1
1992	562	1	16.98	1	1
1993	393	1	12.69	1	1
1994	NA	1	13.93	1	1
1995	598	1	13.45	1	1
1996	530	1	31.00	1	1
1997	558	1	23.08	1	1
1998	502	1	6.76	1	1
1999	442	1	9.66	1	1
2000	499	1	9.72	1	1
2001	620	1	10.53	1	1
2002	692	1	15.07	1	1
2003	240	1	13.83	1	1
1956	169	2	15.16	1	2
1957	190	2	15.48	1	2
1958	159	2	16.26	1	2
1959	211	2	21.25	1	2
1960	232	2	10.94	1	2
1961	155	2	19.93	1	2
1962	282	2	12.63	1	2
1963	170	2	20.09	1	2
1964	164	2	10.02	1	2
1965	162	2	30.91	1	2
1966	253	2	12.49	1	2
1967	188	2	32.70	1	2
1968	226	2	18.40	1	2
1969	171	2	25.21	1	2
1970	207	2	18.61	1	2
1971	189	2	20.13	1	2
1972	274	2	15.71	1	2
1973	352	2	10.27	1	2
1974	245	2	18.68	1	2
1975	340	2	13.74	1	2
1976	335	2	12.83	1	2
1977	302	2	11.50	1	2
1978	159	2	19.15	1	2
1979	154	2	26.82	1	2
1980	238	2	27.87	1	2
1981	410	2	12.85	1	2
1982	210	2	34.04	1	2
1983	296	2	13.05	1	2
1984	339	2	8.56	1	2
1985	435	2	20.00	1	2
1986	298	2	18.39	1	2
1987	243	2	24.31	1	2
1988	296	2	26.79	1	2
1989	215	2	40.63	1	2
1990	172	2	35.20	1	2
1991	197	2	16.09	1	2
1992	366	2	16.98	1	2
1993	284	2	12.69	1	2
1994	212	2	13.93	1	2
1995	191	2	13.45	1	2
1996	297	2	31.00	1	2
1997	262	2	23.08	1	2
1998	424	2	6.76	1	2
1999	364	2	9.66	1	2
2000	526	2	9.72	1	2
2001	337	2	10.53	1	2
2002	297	2	15.07	1	2
2003	258	2	13.83	1	2
1956	NA	3	15.16	1	3
1957	NA	3	15.48	1	3
1958	NA	3	16.26	1	3
1959	NA	3	21.25	1	3
1960	NA	3	10.94	1	3
1961	NA	3	19.93	1	3
1962	NA	3	12.63	1	3
1963	NA	3	20.09	1	3
1964	NA	3	10.02	1	3
1965	NA	3	30.91	1	3
1966	NA	3	12.49	1	3
1967	NA	3	32.70	1	3
1968	NA	3	18.40	1	3
1969	NA	3	25.21	1	3
1970	NA	3	18.61	1	3
1971	NA	3	20.13	1	3
1972	NA	3	15.71	1	3
1973	NA	3	10.27	1	3
1974	NA	3	18.68	1	3
1975	NA	3	13.74	1	3
1976	291	3	12.83	1	3
1977	397	3	11.50	1	3
1978	312	3	19.15	1	3
1979	133	3	26.82	1	3
1980	216	3	27.87	1	3
1981	320	3	12.85	1	3
1982	87	3	34.04	1	3
1983	NA	3	13.05	1	3
1984	314	3	8.56	1	3
1985	NA	3	20.00	1	3
1986	175	3	18.39	1	3
1987	NA	3	24.31	1	3
1988	59	3	26.79	1	3
1989	247	3	40.63	1	3
1990	200	3	35.20	1	3
1991	192	3	16.09	1	3
1992	184	3	16.98	1	3
1993	305	3	12.69	1	3
1994	NA	3	13.93	1	3
1995	243	3	13.45	1	3
1996	41	3	31.00	1	3
1997	391	3	23.08	1	3
1998	NA	3	6.76	1	3
1999	269	3	9.66	1	3
2000	NA	3	9.72	1	3
2001	NA	3	10.53	1	3
2002	NA	3	15.07	1	3
2003	NA	3	13.83	1	3
1956	528	4	15.16	2	1
1957	338	4	15.48	2	1
1958	449	4	16.26	2	1
1959	822	4	21.25	2	1
1960	NA	4	10.94	2	1
1961	717	4	19.93	2	1
1962	12	4	12.63	2	1
1963	169	4	20.09	2	1
1964	98	4	10.02	2	1
1965	112	4	30.91	2	1
1966	77	4	12.49	2	1
1967	106	4	32.70	2	1
1968	64	4	18.40	2	1
1969	15	4	25.21	2	1
1970	130	4	18.61	2	1
1971	84	4	20.13	2	1
1972	132	4	15.71	2	1
1973	122	4	10.27	2	1
1974	41	4	18.68	2	1
1975	83	4	13.74	2	1
1976	148	4	12.83	2	1
1977	148	4	11.50	2	1
1978	126	4	19.15	2	1
1979	105	4	26.82	2	1
1980	261	4	27.87	2	1
1981	234	4	12.85	2	1
1982	396	4	34.04	2	1
1983	960	4	13.05	2	1
1984	1153	4	8.56	2	1
1985	791	4	20.00	2	1
1986	493	4	18.39	2	1
1987	737	4	24.31	2	1
1988	250	4	26.79	2	1
1989	542	4	40.63	2	1
1990	415	4	35.20	2	1
1991	261	4	16.09	2	1
1992	450	4	16.98	2	1
1993	339	4	12.69	2	1
1994	NA	4	13.93	2	1
1995	303	4	13.45	2	1
1996	214	4	31.00	2	1
1997	317	4	23.08	2	1
1998	899	4	6.76	2	1
1999	1004	4	9.66	2	1
2000	634	4	9.72	2	1
2001	668	4	10.53	2	1
2002	589	4	15.07	2	1
2003	885	4	13.83	2	1
1956	177	5	15.16	2	2
1957	273	5	15.48	2	2
1958	256	5	16.26	2	2
1959	170	5	21.25	2	2
1960	188	5	10.94	2	2
1961	149	5	19.93	2	2
1962	205	5	12.63	2	2
1963	108	5	20.09	2	2
1964	79	5	10.02	2	2
1965	53	5	30.91	2	2
1966	75	5	12.49	2	2
1967	80	5	32.70	2	2
1968	104	5	18.40	2	2
1969	122	5	25.21	2	2
1970	78	5	18.61	2	2
1971	76	5	20.13	2	2
1972	161	5	15.71	2	2
1973	114	5	10.27	2	2
1974	63	5	18.68	2	2
1975	151	5	13.74	2	2
1976	177	5	12.83	2	2
1977	154	5	11.50	2	2
1978	41	5	19.15	2	2
1979	78	5	26.82	2	2
1980	83	5	27.87	2	2
1981	86	5	12.85	2	2
1982	31	5	34.04	2	2
1983	158	5	13.05	2	2
1984	111	5	8.56	2	2
1985	189	5	20.00	2	2
1986	115	5	18.39	2	2
1987	57	5	24.31	2	2
1988	57	5	26.79	2	2
1989	92	5	40.63	2	2
1990	41	5	35.20	2	2
1991	61	5	16.09	2	2
1992	175	5	16.98	2	2
1993	90	5	12.69	2	2
1994	68	5	13.93	2	2
1995	57	5	13.45	2	2
1996	87	5	31.00	2	2
1997	113	5	23.08	2	2
1998	396	5	6.76	2	2
1999	384	5	9.66	2	2
2000	422	5	9.72	2	2
2001	538	5	10.53	2	2
2002	234	5	15.07	2	2
2003	85	5	13.83	2	2
1956	NA	6	15.16	2	3
1957	NA	6	15.48	2	3
1958	NA	6	16.26	2	3
1959	NA	6	21.25	2	3
1960	NA	6	10.94	2	3
1961	NA	6	19.93	2	3
1962	NA	6	12.63	2	3
1963	NA	6	20.09	2	3
1964	NA	6	10.02	2	3
1965	NA	6	30.91	2	3
1966	NA	6	12.49	2	3
1967	NA	6	32.70	2	3
1968	NA	6	18.40	2	3
1969	NA	6	25.21	2	3
1970	NA	6	18.61	2	3
1971	NA	6	20.13	2	3
1972	NA	6	15.71	2	3
1973	NA	6	10.27	2	3
1974	NA	6	18.68	2	3
1975	NA	6	13.74	2	3
1976	555	6	12.83	2	3
1977	1928	6	11.50	2	3
1978	983	6	19.15	2	3
1979	141	6	26.82	2	3
1980	1278	6	27.87	2	3
1981	791	6	12.85	2	3
1982	228	6	34.04	2	3
1983	NA	6	13.05	2	3
1984	1167	6	8.56	2	3
1985	NA	6	20.00	2	3
1986	1203	6	18.39	2	3
1987	NA	6	24.31	2	3
1988	60	6	26.79	2	3
1989	1048	6	40.63	2	3
1990	715	6	35.20	2	3
1991	877	6	16.09	2	3
1992	932	6	16.98	2	3
1993	780	6	12.69	2	3
1994	NA	6	13.93	2	3
1995	879	6	13.45	2	3
1996	184	6	31.00	2	3
1997	870	6	23.08	2	3
1998	NA	6	6.76	2	3
1999	689	6	9.66	2	3
2000	NA	6	9.72	2	3
2001	NA	6	10.53	2	3
2002	NA	6	15.07	2	3
2003	NA	6	13.83	2	3
1956	NA	7	15.16	3	1
1957	NA	7	15.48	3	1
1958	NA	7	16.26	3	1
1959	NA	7	21.25	3	1
1960	NA	7	10.94	3	1
1961	NA	7	19.93	3	1
1962	NA	7	12.63	3	1
1963	1	7	20.09	3	1
1964	3	7	10.02	3	1
1965	25	7	30.91	3	1
1966	21	7	12.49	3	1
1967	6	7	32.70	3	1
1968	13	7	18.40	3	1
1969	5	7	25.21	3	1
1970	22	7	18.61	3	1
1971	12	7	20.13	3	1
1972	15	7	15.71	3	1
1973	1	7	10.27	3	1
1974	5	7	18.68	3	1
1975	10	7	13.74	3	1
1976	17	7	12.83	3	1
1977	26	7	11.50	3	1
1978	28	7	19.15	3	1
1979	155	7	26.82	3	1
1980	140	7	27.87	3	1
1981	120	7	12.85	3	1
1982	127	7	34.04	3	1
1983	271	7	13.05	3	1
1984	282	7	8.56	3	1
1985	127	7	20.00	3	1
1986	195	7	18.39	3	1
1987	179	7	24.31	3	1
1988	132	7	26.79	3	1
1989	127	7	40.63	3	1
1990	102	7	35.20	3	1
1991	64	7	16.09	3	1
1992	89	7	16.98	3	1
1993	101	7	12.69	3	1
1994	NA	7	13.93	3	1
1995	60	7	13.45	3	1
1996	60	7	31.00	3	1
1997	49	7	23.08	3	1
1998	91	7	6.76	3	1
1999	69	7	9.66	3	1
2000	132	7	9.72	3	1
2001	182	7	10.53	3	1
2002	146	7	15.07	3	1
2003	129	7	13.83	3	1
1956	2	8	15.16	3	2
1957	NA	8	15.48	3	2
