ItemID,Item,Price,Classification
6948153,"Eldon Base for stackable storage shelf, platinum",38.94,Storage & Organization
4950974,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,Appliances
6747204,"Cardinal Slant-D?Ring Binder, Heavy Gauge Vinyl",8.69,Binders and Binder Accessories
824852,R380,195.99,Telephones and Communication
7224702,Holmes HEPA Air Purifier,21.78,Appliances
7149493,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,6.64,Office Furnishings
6549330,"Angle-D Binders with Locking Rings, Label Holders",7.3,Binders and Binder Accessories
8339717,"SAFCO Mobile Desk Side File, Wire Frame",42.76,Storage & Organization
8337620,"SAFCO Commercial Wire Shelving, Black",138.14,Storage & Organization
889180,Xerox 198,4.98,Paper
8810618,Xerox 1980,4.28,Paper
6547483,Advantus Map Pennant Flags and Round Head Tacks,3.95,Rubber Bands
7224132,Holmes HEPA Air Purifier,21.78,Appliances
6849239,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",47.98,Computer Peripherals
8745998,"Wilson Jones 1"" Hanging DublLock?Ring Binders",5.28,Binders and Binder Accessories
8545453,Ultra Commercial Grade Dual Valve Door Closer,39.89,Office Furnishings
3551251,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",15.74,Envelopes
7227257,Hon 4-Shelf Metal Bookcases,100.98,Bookcases
7678885,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",71.37,Tables
1034836,g520,65.99,Telephones and Communication
766725,LX 788,155.99,Telephones and Communication
658431,Avery 52,3.69,Labels
8039739,Plymouth Boxed Rubber Bands by Plymouth,4.71,Rubber Bands
7159473,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",15.99,Binders and Binder Accessories
7750585,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",4.89,Computer Peripherals
7810988,Newell 335,2.88,Pens & Art Supplies
8345924,SANFORD Liquid Accent?Tank-Style Highlighters,2.84,Pens & Art Supplies
6718363,Canon PC940 Copier,449.99,Copiers and Fax
8458220,"Tenex Personal Project File with Scoop Front Design, Black",13.48,Storage & Organization
6730251,Col-Erase?Pencils with Erasers,6.08,Pens & Art Supplies
