Number of Records,Created At,Entities Str,From User,From User Id Str,Geo Coordinates,Id Str,In Reply To Screen Name,In Reply To Status Id Str,In Reply To User Id Str,Profile Image Url,Source,Status Url,Text,Time,User Followers Count,User Friends Count,User Lang,User Location
1,Mon Dec 05 21:38:53 +0000 2016,"{""hashtags"":[],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/6TsUm6Zm3w"",""expanded_url"":""http://dlvr.it/MpyTbN"",""display_url"":""dlvr.it/MpyTbN"",""indices"":[81,104]}]}",Andy_Burton,18378334,,805889202436984832,,,,http://pbs.twimg.com/profile_images/653575702600622080/qyoEQUPC_normal.jpg,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>",http://twitter.com/Andy_Burton/statuses/805889202436984832,Trump: Climate Change Guru: Donald Trump's Election Means the Planet Is Now Safe https://t.co/6TsUm6Zm3w,05-Dec-16 9:38:53 PM,68591,65699,en,"England, United Kingdom"
1,Mon Dec 05 21:38:53 +0000 2016,"{""hashtags"":[],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/KBiG7e8fbM"",""expanded_url"":""http://dlvr.it/MpyTbP"",""display_url"":""dlvr.it/MpyTbP"",""indices"":[99,122]}]}",Andy_Burton,18378334,,805889204030820352,,,,http://pbs.twimg.com/profile_images/653575702600622080/qyoEQUPC_normal.jpg,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>",http://twitter.com/Andy_Burton/statuses/805889204030820352,Trump: BOOM! Trump Puts The NFL In CHECK After They Allowed Players To Disrespect Country And Flag https://t.co/KBiG7e8fbM,05-Dec-16 9:38:53 PM,68591,65699,en,"England, United Kingdom"
1,Mon Dec 05 21:38:53 +0000 2016,"{""hashtags"":[{""text"":""ThisIsNotNormal"",""indices"":[0,16]},{""text"":""Resist"",""indices"":[17,24]}],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/d1pBw0LC7C"",""expanded_url"":""http://nyti.ms/2h7ecUO"",""display_url"":""nyti.ms/2h7ecUO"",""indices"":[78,101]}]}",ATPacy,123549341,,805889205062746112,,,,http://pbs.twimg.com/profile_images/796317173811712000/2xaNeYkg_normal.jpg,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com/ATPacy/statuses/805889205062746112,"#ThisIsNotNormal
#Resist
Trump Adviser Has Pushed Clinton Conspiracy Theories https://t.co/d1pBw0LC7C",05-Dec-16 9:38:53 PM,281,484,en,
1,Mon Dec 05 21:38:53 +0000 2016,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""CNNMoney"",""name"":""CNNMoney"",""id"":16184358,""id_str"":""16184358"",""indices"":[83,92]}],""urls"":[{""url"":""https://t.co/FDhHEqQJIe"",""expanded_url"":""http://cnnmon.ie/2fXnlDg"",""display_url"":""cnnmon.ie/2fXnlDg"",""indices"":[55,78]}]}",buddy_dek,716905889,,805889202118344704,,,,http://pbs.twimg.com/profile_images/782548298414428160/V2jD52yG_normal.jpg,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com/buddy_dek/statuses/805889202118344704,Trump's ultra-rich Cabinet could save big with tax law https://t.co/FDhHEqQJIe via @CNNMoney,05-Dec-16 9:38:53 PM,4996,5439,en,"New York, N.Y."
1,Mon Dec 05 21:38:53 +0000 2016,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""RexHuppke"",""name"":""Rex Huppke"",""id"":21792170,""id_str"":""21792170"",""indices"":[3,13]}],""urls"":[]}",island_woman,35187516,,805889202453970944,,,,http://pbs.twimg.com/profile_images/183697989/DSC00219_normal.JPG,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com/island_woman/statuses/805889202453970944,"RT @RexHuppke: MILLIONS OF TRUMP SUPPORTERS VOTED TWICE.

Credible source (me).

You don't know if it's not true. PLEASE share.

https://t.…",05-Dec-16 9:38:53 PM,90,273,en,Prince Edward Island
1,Mon Dec 05 21:38:53 +0000 2016,"{""hashtags"":[],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/ucvIBRvr7f"",""expanded_url"":""https://www.yahoo.com/katiecouric/exclusive-face-to-face-with-edward-snowden-in-moscow-on-trump-putin-and-dwindling-hopes-of-a-presidential-pardon-100117331.html"",""display_url"":""yahoo.com/katiecouric/ex…"",""indices"":[75,98]}]}",caseynoland,178048607,,805889204823560192,,,,http://pbs.twimg.com/profile_images/679362905666555904/8IJi45JJ_normal.jpg,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com/caseynoland/statuses/805889204823560192,Worth watching in its entirely: Face-to-face with Edward Snowden in Moscow https://t.co/ucvIBRvr7f,05-Dec-16 9:38:53 PM,117,145,en,"Santa Cruz, CA"
1,Mon Dec 05 21:38:53 +0000 2016,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""g_mccray"",""name"":""Gregory McCray"",""id"":149984992,""id_str"":""149984992"",""indices"":[3,12]},{""screen_name"":""nuzzel"",""name"":""Nuzzel"",""id"":106041193,""id_str"":""106041193"",""indices"":[105,112]},{""screen_name"":""truthbyDW"",""name"":""truthbyDW"",""id"":796470619,""id_str"":""796470619"",""indices"":[120,130]}],""urls"":[{""url"":""https://t.co/lrfXzABI3c"",""expanded_url"":""http://nzzl.us/k1vXWQM"",""display_url"":""nzzl.us/k1vXWQM"",""indices"":[77,100]}]}",Gallaecian,216802451,,805889205561860097,,,,http://pbs.twimg.com/profile_images/696348443590004736/1N_UI3dC_normal.jpg,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com/Gallaecian/statuses/805889205561860097,RT @g_mccray: Trump's Emboldened Religious Right Will Wreak Havoc on America https://t.co/lrfXzABI3c via @nuzzel thanks @truthbyDW,05-Dec-16 9:38:53 PM,9409,7102,en,The Great N. Atlantic Universe
1,Mon Dec 05 21:38:53 +0000 2016,"{""hashtags"":[],""symbols"":[],""user_mentions"":[],""urls"":[]}",TonyTehTowel,1535424756,,805889204022546437,,,,http://pbs.twimg.com/profile_images/747060073910853633/AhQtiT3w_normal.jpg,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com/TonyTehTowel/statuses/805889204022546437,"AJ Styles is WWE Champion
Donald Trump is President
Metallica just made their best album
The Mandella effect 

Alternate universe confirmed.",05-Dec-16 9:38:53 PM,1262,1610,en,The Pinnacle of Conciousness
1,Mon Dec 05 21:38:53 +0000 2016,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""NYCMayor"",""name"":""Bill de Blasio"",""id"":19834403,""id_str"":""19834403"",""indices"":[0,9]},{""screen_name"":""Rosie"",""name"":""Rosie"",""id"":25203361,""id_str"":""25203361"",""indices"":[10,16]},{""screen_name"":""NYPDnews"",""name"":""NYPD NEWS"",""id"":17393196,""id_str"":""17393196"",""indices"":[17,26]},{""screen_name"":""NYPDONeill"",""name"":""Commissioner O'Neill"",""id"":2801780500,""id_str"":""2801780500"",""indices"":[27,38]}],""urls"":[]}",hoodieb,16489096,,805889204936908800,NYCMayor,805882998373711872,19834403,http://pbs.twimg.com/profile_images/805440530683461632/ryQLwacX_normal.jpg,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com/hoodieb/statuses/805889204936908800,@NYCMayor @Rosie @NYPDnews @NYPDONeill Bravo!  Why should the city have to pay for it? Maybe Trump should pay TAXES and reimburse the city!,05-Dec-16 9:38:53 PM,186,128,en,Watching Buckeye football
1,Mon Dec 05 21:38:53 +0000 2016,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""observer"",""name"":""OBSERVER"",""id"":15738599,""id_str"":""15738599"",""indices"":[3,12]}],""urls"":[{""url"":""https://t.co/RvB4U3mLmZ"",""expanded_url"":""http://bit.ly/2gZBYG6"",""display_url"":""bit.ly/2gZBYG6"",""indices"":[85,108]}]}",randyn9559,2557439485,,805889203376652294,,,,http://pbs.twimg.com/profile_images/800803109039730688/Q-JdXIp__normal.jpg,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",http://twitter.com/randyn9559/statuses/805889203376652294,RT @observer: NYPD Reports ‘Huge Spike’ in Hate Crimes Since Donald Trump’s Election https://t.co/RvB4U3mLmZ,05-Dec-16 9:38:53 PM,772,294,en,
