Number of Records,Created At,Entities Str,From User,From User Id Str,Geo Coordinates,Id Str,In Reply To Screen Name,In Reply To Status Id Str,In Reply To User Id Str,Profile Image Url,Source,Status Url,Text,Time,User Followers Count,User Friends Count,User Lang,User Location
1,Mon Dec 05 21:38:25 +0000 2016,"{""hashtags"":[],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/Wb6dA67cdY"",""expanded_url"":""http://ln.is/talkingpointsmemo.com/OiSFW"",""display_url"":""ln.is/talkingpointsm…"",""indices"":[110,133]}]}",curtislwalker,19141265,,805889087018242052,,,,http://pbs.twimg.com/profile_images/1120236596/605346-R1-044-20A_normal.jpg,"<a href=""http://linkis.com"" rel=""nofollow"">Put your button on any page! </a>",http://twitter.com/curtislwalker/statuses/805889087018242052,"💩💩💩💩💩💩💩by any other name are TRUMP VOTERS. Key House Chairman: GOP will 'Change' Medicare, to 'Save' It - TPM https://t.co/Wb6dA67cdY",05-Dec-16 9:38:25 PM,834,1917,en,"Carmichael, CA"
1,Mon Dec 05 21:38:25 +0000 2016,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""SharonMcCutchan"",""name"":""Sharon McCutchan"",""id"":905898240,""id_str"":""905898240"",""indices"":[3,19]}],""urls"":[]}",ffendland,247614496,,805889084405194752,,,,http://pbs.twimg.com/profile_images/726928020913590272/UObrS4w2_normal.jpg,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com/ffendland/statuses/805889084405194752,RT @SharonMcCutchan: Trump makes deals with big business that benefit American workers instead of politicians' pockets &amp; MSM goes crazy!,05-Dec-16 9:38:25 PM,4870,4903,en,"North Carolina, USA"
1,Mon Dec 05 21:38:25 +0000 2016,"{""hashtags"":[{""text"":""Trump"",""indices"":[44,50]},{""text"":""WI"",""indices"":[54,57]}],""symbols"":[],""user_mentions"":[{""screen_name"":""EuropeNextYear"",""name"":""Politics & Tweets"",""id"":2404148318,""id_str"":""2404148318"",""indices"":[3,18]}],""urls"":[{""url"":""https://t.co/wuVxxCGdmd"",""expanded_url"":""https://twitter.com/joeylein2/status/805886801843888128"",""display_url"":""twitter.com/joeylein2/stat…"",""indices"":[61,84]}]}",LenoraJ16,745300690524790785,,805889085160103936,,,,http://pbs.twimg.com/profile_images/805886985978032128/Sb7oCA6b_normal.jpg,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com/LenoraJ16/statuses/805889085160103936,RT @EuropeNextYear: Clinton losing votes to #Trump in #WI... https://t.co/wuVxxCGdmd,05-Dec-16 9:38:25 PM,750,589,en,Temecula Wine Country CA
1,Mon Dec 05 21:38:25 +0000 2016,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""deirdrewalshcnn"",""name"":""Deirdre Walsh"",""id"":103087786,""id_str"":""103087786"",""indices"":[3,19]},{""screen_name"":""SpeakerRyan"",""name"":""Paul Ryan"",""id"":18916432,""id_str"":""18916432"",""indices"":[22,34]}],""urls"":[]}",VickoftheHill,11702412,,805889084665327616,,,,http://pbs.twimg.com/profile_images/1124486129/DSCN0718_normal.JPG,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com/VickoftheHill/statuses/805889084665327616,"RT @deirdrewalshcnn: .@SpeakerRyan,asked a/b conflicts for Trump says he's confident he'll ""remove himself from his business affairs as he…",05-Dec-16 9:38:25 PM,1722,2031,en,"Washington, D.C."
1,Mon Dec 05 21:38:25 +0000 2016,"{""hashtags"":[{""text"":""Deplorables"",""indices"":[62,74]}],""symbols"":[],""user_mentions"":[{""screen_name"":""AceMahony"",""name"":""Aaron Wilder"",""id"":463178055,""id_str"":""463178055"",""indices"":[0,10]}],""urls"":[]}",NUPEsupreme,240619680,,805889088163221504,AceMahony,805746695485014017,463178055,http://pbs.twimg.com/profile_images/473284458448056320/x0a4kxnM_normal.jpeg,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com/NUPEsupreme/statuses/805889088163221504,@AceMahony No argument here.........Trump is filthy as HELL.  #Deplorables,05-Dec-16 9:38:25 PM,2818,2462,en,"Los Angeles, CA"
1,Mon Dec 05 21:38:25 +0000 2016,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""GovMikeHuckabee"",""name"":""Gov. Mike Huckabee"",""id"":15416505,""id_str"":""15416505"",""indices"":[0,16]}],""urls"":[]}",GailSBroughton,750765767638061056,,805889086259167233,GovMikeHuckabee,805863626921902081,15416505,http://pbs.twimg.com/profile_images/750768458783162368/U5JmURp2_normal.jpg,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com/GailSBroughton/statuses/805889086259167233,@GovMikeHuckabee absolutely disappointed that u would stoop so low Trump has already infected some of the better people in our government,05-Dec-16 9:38:25 PM,24,96,en,"Charleston, SC"
1,Mon Dec 05 21:38:25 +0000 2016,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""politico"",""name"":""POLITICO"",""id"":9300262,""id_str"":""9300262"",""indices"":[0,9]}],""urls"":[]}",captainhook1962,3403716424,,805889086196248576,politico,805887738335600640,9300262,http://pbs.twimg.com/profile_images/673746076415885312/4i-_6XyA_normal.jpg,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com/captainhook1962/statuses/805889086196248576,"@politico Fuck them and their hate, why should Trump do anything for those who hate anyone not marching in lockstep with Democrats?",05-Dec-16 9:38:25 PM,487,336,en,
1,Mon Dec 05 21:38:25 +0000 2016,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""DannyZuker"",""name"":""Danny Zuker"",""id"":22080646,""id_str"":""22080646"",""indices"":[3,14]}],""urls"":[]}",nyx_erebus,796146651068964864,,805889086129078272,,,,http://pbs.twimg.com/profile_images/799825002207903744/vy1hXO6i_normal.jpg,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/nyx_erebus/statuses/805889086129078272,"RT @DannyZuker: For those who've lost hope, a small determined group of people just stopped the Dakota pipeline. 100 million of us can sure…",05-Dec-16 9:38:25 PM,253,509,en,"San Francisco, CA"
1,Mon Dec 05 21:38:25 +0000 2016,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""lsarsour"",""name"":""Linda Sarsour"",""id"":27187343,""id_str"":""27187343"",""indices"":[3,12]}],""urls"":[]}",DeLuigii,1486408506,,805889088133984257,,,,http://pbs.twimg.com/profile_images/801955374509199360/e5p49BMn_normal.jpg,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/DeLuigii/statuses/805889088133984257,"RT @lsarsour: Introducing, Trump's economic team. No women. All white men. Your eyes aren't deceiving you - yes, there's 5 Steves. 😂 https:…",05-Dec-16 9:38:25 PM,711,563,en,THE Ohio State University
1,Mon Dec 05 21:38:25 +0000 2016,"{""hashtags"":[],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/eiVJiLhZgy"",""expanded_url"":""https://twitter.com/i/web/status/805889086099771392"",""display_url"":""twitter.com/i/web/status/8…"",""indices"":[104,127]}]}",pelpallmall23,789355361157255168,,805889086099771392,,,,http://abs.twimg.com/sticky/default_profile_images/default_profile_3_normal.png,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/pelpallmall23/statuses/805889086099771392,Anything that gets Trump's panties in a wad can't be all bad  trump are you still in toddlers diapers?… https://t.co/eiVJiLhZgy,05-Dec-16 9:38:25 PM,,31,en,
